Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHABAULI,BHILLA PATTI,Shallow tubewell,Ground Water,Near Mandir Side,HandPump,HP-IRP(0003784116)
2,DHABAULI,BHILLA PATTI,Shallow tubewell,Ground Water,BHILLA PATTI,HandPump,NC/PC 2012- 13(0004670665)
3,DHABAULI,BHILLA PATTI,Shallow tubewell,Ground Water,Near Bhilla Patti Road Side,HandPump,NC/PC(0001953112)
4,DHABAULI,BRAHAMNA TOLA,Shallow tubewell,Ground Water,Near School,HandPump,HP-IRP(0003789542)
5,DHABAULI,BRAHAMNA TOLA,Shallow tubewell,Ground Water,Near Mandir,HandPump,HP-IRP(0003789567)
6,DHABAULI,BRAHAMNA TOLA,Shallow tubewell,Ground Water,Near Kali Mandir,HandPump,HP-IRP(0003789587)
7,DHABAULI,BRAHAMNA TOLA,Shallow tubewell,Ground Water,Near Bazar,HandPump,HP-IRP(0003789618)
8,DHABAULI,BRAHAMNA TOLA,Shallow tubewell,Ground Water,BRAHAMNA TOLA,HandPump,NC/PC 2012- 13(0004723058)
9,DHABAULI,BRAHAMNA TOLA,Shallow tubewell,Ground Water,Near Road Side,HandPump,NC/PC(0001985926)
10,DHABAULI,BRAHAMNA TOLA,Shallow tubewell,Ground Water,Near Chouk,HandPump,NC/PC(0004115029)
11,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Aganw adi Center Code- 85 Sarkari Chabutra,HandPump,Aaganw adi(0005830009)
12,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Aganw adi Center Code- 85 Sarkari Chabutra,HandPump,Aaganw adi(0005832582)
13,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Aganw adi Center Code- 81 Panchyat Bhaw an,HandPump,Aaganw adi(0005832674)
14,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Aganw adi Center Code- 81 Panchyat Bhaw an,HandPump,Aaganw adi(0005832734)
15,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Aganw adi Bahaw an Center Code- 86,HandPump,Aganw adi(0005795508)
16,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Sarkari Chabutra Center Code- 83,HandPump,Aganw adi(0005795609)
17,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Aganw adis Center Dattai Tola Hariw ans Code- 62,HandPump,Aganw adis(0004977663)
18,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Aganw adi Center Code- 78 Sarkari Chabutra,HandPump,Aganw adis(0005832620)
19,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Aganw adis Center Dattai Tola Hariw ans Code- 62,HandPump,Angaw adis(0004947499)
20,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Kahara,HandPump,HP-IRP(0006049955)
21,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Shiv Sada,HandPump,HP-IRP(0006049959)
22,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Ramji Pasw an,HandPump,HP-IRP(0006049971)
23,DHABAULI,DHABOLI,Deep tubewell,Ground Water,Pholesw ar Sada,HandPump,IM-II Hand Pump(0006560855)
24,DHABAULI,DHABOLI,Deep tubewell,Ground Water,Ramji Singh,HandPump,IM-II Hand Pump(0006561113)
25,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,Near School,HandPump,NC/PC(0001985929)
26,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,NEAR MINI PIPE LINE SCHEME,HandPump,NC/PC(0003610076)
27,DHABAULI,DHABOLI,Deep tubewell,Ground Water,Near Road Side,HandPump,Near Hihg School(0001333720)
28,DHABAULI,DHABOLI,Deep tubewell,Ground Water,Near Mandir,HandPump,Near Krishna Mandir(0001333724)
29,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,PS MANMA TOL,Others,School(0006077841)
30,DHABAULI,DHABOLI,Shallow tubewell,Ground Water,PS CHAKARAHI,Others,School(0006077851)
31,DHABAULI,DUMARIA,Shallow tubewell,Ground Water,Vikash Kumar,HandPump,NC/PC(0004115029)
32,DHABAULI,DUMARIA,Deep tubewell,Ground Water,Sanjay Kumar,HandPump,Near Yogendar Yadav(0001333395)
33,DHABAULI,DUMARIA,Deep tubewell,Ground Water,DUMARIA,HandPump,Near Yogindra Yadav(0001332238)
34,DHABAULI,DUMARIA,Deep tubewell,Ground Water,T/W 2,HandPump,Patarghat QA Scheme(0007116620)
35,DHABAULI,DUMARIA,Deep tubewell,Ground Water,T/W 1,HandPump,Patarghat QA Scheme(0007116620)
36,DHABAULI,KAMAT TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004964482)
37,DHABAULI,KAMAT TOLA,Shallow tubewell,Ground Water,Near Mandir,HandPump,NC/PC(0001985931)
38,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,Mandir Campus,HandPump,HP-IRP(0003789649)
39,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,School Campus,HandPump,HP-IRP(0003789679)
40,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,Bazar,HandPump,HP-IRP(0003789812)
41,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,Chouk,HandPump,HP-IRP(0003797230)
42,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003797244)
43,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003797259)
44,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,Mandir,HandPump,HP-IRP(0003797317)
45,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,School,HandPump,HP-IRP(0003797327)
46,DHABAULI,KESHALIPUR,Shallow tubewell,Ground Water,Road Sid D,HandPump,NC/PC(0001985933)
47,DHABAULI,MANIKPUR MUSHAHARI,Shallow tubewell,Ground Water,Sarkari Chabutra Center Code- 74,HandPump,Aganw adi(0005794091)
48,DHABAULI,MANIKPUR MUSHAHARI,Shallow tubewell,Ground Water,Mushahari Tola,HandPump,NC/PC(0001985935)
49,DHABAULI,MOKAHI,Shallow tubewell,Ground Water,NEAR TIRO YADAV,HandPump,HP-IRP(0003494915)
50,DHABAULI,MOKAHI,Shallow tubewell,Ground Water,Near Road Side,HandPump,NC/PC(0001985937)
51,DHABAULI,MOKAHI,Shallow tubewell,Ground Water,Near School,HandPump,NC/PC(0001986060)
52,DHABAULI,MUSHAHARI,Shallow tubewell,Ground Water,Sarkari Chabutra Center Code- 84,HandPump,Aganw adi(0005795985)
53,DHABAULI,MUSHAHARI,Shallow tubewell,Ground Water,Aganw adis Center Hara Mushari Code- 83,HandPump,Aganw adis(0004977691)
54,DHABAULI,MUSHAHARI,Shallow tubewell,Ground Water,Aganw adis Center Hara Mushari Code- 83,HandPump,Angaw adis(0004947534)
55,DHABAULI,MUSHAHARI,Shallow tubewell,Ground Water,Ashok Kumar,HandPump,HP-IRP(0003797371)
