Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAITHA MASAHRI,BAITH MUSHARI,Shallow tubewell,Ground Water,NEAR BHARAT MAHTO,HandPump,HP-IRP(0003508837)
2,BAITHA MASAHRI,BAITH MUSHARI,Shallow tubewell,Ground Water,Chamar Tola,HandPump,HP-IRP(0005833729)
3,BAITHA MASAHRI,BAITH MUSHARI,Shallow tubewell,Ground Water,Kanya Vidyalaya,HandPump,HP-IRP(0005833737)
4,BAITHA MASAHRI,BAITH MUSHARI,Shallow tubewell,Ground Water,Munna Marandi,HandPump,HP-IRP(0005833750)
5,BAITHA MASAHRI,BAITH MUSHARI,Deep tubewell,Ground Water,Madan Mandal,HandPump,IM-II Hand Pump(0006559929)
6,BAITHA MASAHRI,BAITH MUSHARI,Deep tubewell,Ground Water,Charitar Risidev,HandPump,IM-II Hand Pump(0006559945)
7,BAITHA MASAHRI,BAITH MUSHARI,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963917)
8,BAITHA MASAHRI,BAITH MUSHARI,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963919)
9,BAITHA MASAHRI,BAITH MUSHARI,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963920)
10,BAITHA MASAHRI,BAITH MUSHARI,Shallow tubewell,Ground Water,Chamar Tola,HandPump,NC/PC(0001986090)
11,BAITHA MASAHRI,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR DAYA RAM PASWAN,HandPump,HP-IRP(0003509110)
12,BAITHA MASAHRI,HARIJAN TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963919)
13,BAITHA MASAHRI,HARIJAN TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963920)
14,BAITHA MASAHRI,HARIJAN TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963920)
15,BAITHA MASAHRI,HARIJAN TOLA,Shallow tubewell,Ground Water,Near Chabutra,HandPump,NC/PC(0001956870)
16,BAITHA MASAHRI,HARIJAN TOLA,Deep tubewell,Ground Water,Near Ram Tola,HandPump,Sonbarsha And Sour Bazar QA Habs. Scheme(0004122437)
17,BAITHA MASAHRI,RAM TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963917)
18,BAITHA MASAHRI,RAM TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963919)
19,BAITHA MASAHRI,RAM TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963920)
20,BAITHA MASAHRI,RAM TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004964471)
21,BAITHA MASAHRI,RAM TOLA,Deep tubewell,Ground Water,Near Samudaik,HandPump,Sonbarsha And Sour Bazar QA Habs. Scheme(0004122437)
22,BAITHA MASAHRI,SANTHAL TOLA,Shallow tubewell,Ground Water,NEAR MUNNA MARRANDI,HandPump,HP-IRP(0003508941)
23,BAITHA MASAHRI,SANTHAL TOLA,Shallow tubewell,Ground Water,Near Road,HandPump,HP-IRP(0003761942)
24,BAITHA MASAHRI,SANTHAL TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963917)
