Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DUMRA,DUMRA,Shallow tubewell,Ground Water,"NEAR SHIV KUMAR SINGH, P.- MURLI SINGH",HandPump,HP-IRP(0003512227)
2,DUMRA,DUMRA,Shallow tubewell,Ground Water,NEAR TOLA,HandPump,NC/PC(0001957040)
3,DUMRA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR CHABUTRA,HandPump,HP-IRP(0003762559)
4,DUMRA,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR CHAURAHA,HandPump,Near Mnik Ram(0001130515)
5,DUMRA,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR SAMUDAIK BHAWAN,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
6,DUMRA,KUMAHAR TOLA,Shallow tubewell,Ground Water,NEAR HARI MOHAN PANDIT,HandPump,HP-IRP(0003640244)
7,DUMRA,KUMAHAR TOLA,Shallow tubewell,Ground Water,NEAR KUMHAR BASTI,HandPump,HP-IRP(0003762582)
8,DUMRA,KUMAHAR TOLA,Shallow tubewell,Ground Water,NEAR SAMUDAIK,HandPump,HP-IRP(0005630338)
9,DUMRA,KUMAHAR TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0005658193)
10,DUMRA,KUMAHAR TOLA,Shallow tubewell,Ground Water,KUMAHAR TOLA,HandPump,NC/PC 2012- 13(0004732859)
11,DUMRA,KUMAHAR TOLA,Deep tubewell,Ground Water,NEAR CHABUTRA,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
12,DUMRA,NAU TOLA,Shallow tubewell,Ground Water,NEAR NAU TOLA,HandPump,NC/PC(0001957041)
13,DUMRA,RAM TOLA,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,HP-IRP(0005630350)
14,DUMRA,RAM TOLA,Shallow tubewell,Ground Water,RAM TOLA,HandPump,NC/PC 2012- 13(0004732869)
15,DUMRA,RAM TOLA,Deep tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
16,LAGMA,HARIJAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Near Sonamsada(0001130501)
17,LAGMA,HARIJAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
18,LAGMA,LAGMA,Shallow tubewell,Ground Water,Aganw adis Center Lagma South Code- 150,HandPump,Aaganw adi(0005851004)
