Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MOKMA,ARNGA,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,NC/PC(0001957069)
2,MOKMA,ARNGA HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,31/03/2011(0003763366)
3,MOKMA,ARNGA HARIJAN TOLA,Shallow tubewell,Ground Water,ARNGA HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004733386)
4,MOKMA,ARNGA HARIJAN TOLA,Deep tubewell,Ground Water,NEAR CHAUK,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
5,MOKMA,BATHNEHA,Shallow tubewell,Ground Water,NEAR CHABUTRA,HandPump,HP-IRP(0003460460)
6,MOKMA,BATHNEHA,Shallow tubewell,Ground Water,NEAR RABIN PD. SINGH,HandPump,HP-IRP(0003510257)
7,MOKMA,BATHNEHA,Shallow tubewell,Ground Water,NEAR SUNIL KUMAR SINGH,HandPump,HP-IRP(0003510277)
8,MOKMA,BATHNEHA,Shallow tubewell,Ground Water,NEAR ASHOK KUMAR SINGH,HandPump,HP-IRP(0003510342)
9,MOKMA,BATHNEHA,Shallow tubewell,Ground Water,Kailu Mushahar,HandPump,HP-IRP(0005834883)
10,MOKMA,BATHNEHA,Shallow tubewell,Ground Water,Shiv Mandir,HandPump,HP-IRP(0005834902)
11,MOKMA,BATHNEHA,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,NC/PC(0001986220)
12,MOKMA,BATHNEHA,Shallow tubewell,Ground Water,Primary School Bathnaha,HandPump,School(0001966561)
13,MOKMA,BATHNEHA,Deep tubewell,Ground Water,Primary School Bathnaha,HandPump,Sonbarsa School Scheme(0002728730)
14,MOKMA,BATHNEHA HARIJAN TOLA,Shallow tubewell,Ground Water,BATHNEHA HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004733395)
15,MOKMA,BATHNEHA HARIJAN TOLA,Deep tubewell,Ground Water,NEAR CHABUTRA,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
16,MOKMA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004733402)
17,MOKMA,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Suman Sada(0001332366)
18,MOKMA,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
19,MOKMA,JARSEL,Shallow tubewell,Ground Water,NEAR CHABUTRA,HandPump,31/03/2011(0003763391)
20,MOKMA,JARSEL,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,HP-IRP(0003460923)
21,MOKMA,JARSEL,Shallow tubewell,Ground Water,NEAR DAROUGI YADAV,HandPump,HP-IRP(0003510318)
22,MOKMA,JARSEL,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001986225)
23,MOKMA,JARSEL,Shallow tubewell,Ground Water,Primary School Jarser,HandPump,School(0001966536)
24,MOKMA,JARSEL,Deep tubewell,Ground Water,Primary School Jarser,HandPump,Sonbarsa School Scheme(0002728730)
25,MOKMA,JARSEL HARIJAN TOLA,Shallow tubewell,Ground Water,JARSEL HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004733410)
26,MOKMA,JARSEL HARIJAN TOLA,Deep tubewell,Ground Water,NEAR HARIJAN,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
27,MOKMA,MOKMA,Shallow tubewell,Ground Water,"NEAR MANOJ SINGH , SHOKHI SINGH",HandPump,HP-IRP(0003642550)
28,MOKMA,MOKMA,Shallow tubewell,Ground Water,NEAR RIVER,HandPump,HP-IRP(0003763414)
29,MOKMA,MOKMA,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,HP-IRP(0003763467)
30,MOKMA,MOKMA,Shallow tubewell,Ground Water,MOKMA,HandPump,NC/PC 2012- 13(0004676762)
31,MOKMA,MOKMA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001986227)
32,MOKMA,MOKMA,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,NC/PC(0001986250)
33,MOKMA,MOKMA,Deep tubewell,Ground Water,NEAR CHABUTRA,HandPump,Near Bablu Kumar(0001332364)
34,PACHLAKH,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARIJAN,HandPump,HP-IRP(0003763484)
35,PACHLAKH,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004733421)
36,PACHLAKH,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
37,PACHLAKH,PACHALAKH,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003460879)
38,PACHLAKH,PACHALAKH,Shallow tubewell,Ground Water,"NEAR MANDAL TOLA, RAMANAND MANDAL",HandPump,HP-IRP(0003510296)
39,PACHLAKH,PACHALAKH,Shallow tubewell,Ground Water,"NEAR MASO. GEETA DEVI, W/O LATE MOHAN MEHTA",HandPump,HP-IRP(0003642386)
40,PACHLAKH,PACHALAKH,Shallow tubewell,Ground Water,"NEAR GEETA DEVI , W/O LATE MOHAN MEHTA",HandPump,HP-IRP(0003642484)
41,PACHLAKH,PACHALAKH,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003763501)
42,PACHLAKH,PACHALAKH,Shallow tubewell,Ground Water,Mushahari,HandPump,HP-IRP(0005834876)
43,PACHLAKH,PACHALAKH,Deep tubewell,Ground Water,Mushahri,HandPump,IM-II Hand Pump(0006560570)
44,PACHLAKH,PACHALAKH,Deep tubewell,Ground Water,Jolha Tola,HandPump,IM-II Hand Pump(0006560679)
45,PACHLAKH,PACHALAKH,Deep tubewell,Ground Water,Ganeshi Ram,HandPump,IM-II Hand Pump(0006560688)
46,PACHLAKH,PACHALAKH,Shallow tubewell,Ground Water,PACHALAKH,HandPump,NC/PC 2012- 13(0004676787)
47,PACHLAKH,PACHALAKH,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,NC/PC(0001986230)
48,PACHLAKH,PACHALAKH,Deep tubewell,Ground Water,NEAR CHABUTRA,HandPump,Near Bulak Singh(0001332355)
49,PACHLAKH,RAM TOLA,Shallow tubewell,Ground Water,NEAR VILLAGE,HandPump,HP-IRP(0003763513)
50,PACHLAKH,RAM TOLA,Shallow tubewell,Ground Water,RAM TOLA,HandPump,NC/PC 2012- 13(0004733429)
51,PACHLAKH,RAM TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Umesh Ram(0001332356)
52,PACHLAKH,RAM TOLA,Deep tubewell,Ground Water,NEAR CHABUTRA,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
