Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AGMA,AGMA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001957073)
2,AGMA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,NC/PC(0001957074)
3,AGMA,PASWAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
4,GONRAM,GODRAM,Shallow tubewell,Ground Water,NEAR SAMAT LAL SHARMA,HandPump,HP-IRP(0003511528)
5,GONRAM,GODRAM,Shallow tubewell,Ground Water,"NEAR DHIRENDRA SINGH, S/O MASTER SHAHEB",HandPump,HP-IRP(0003643516)
6,GONRAM,GODRAM,Shallow tubewell,Ground Water,Chakla Lok Shiksha Kendra,HandPump,HP-IRP(0005850909)
7,GONRAM,GODRAM,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,NC/PC(0001986259)
8,GONRAM,GODRAM,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Pirw at Sada(0001332571)
9,GONRAM,GODRAM HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR PREM LAL SHARMA,HandPump,HP-IRP(0003511513)
10,GONRAM,GODRAM HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,NC/PC(0001957075)
11,GONRAM,GODRAM HARIJAN TOLA,Deep tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,Near Soman Ram(0001332582)
12,GONRAM,GODRAM HARIJAN TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Visho Ram(0001332573)
13,GONRAM,GOLA BASA,Shallow tubewell,Ground Water,NEAR CHABUTRA,HandPump,NC/PC(0001957077)
14,GONRAM,GOLA BASA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001957078)
15,GONRAM,GOLA HARIJAN TOLA,Deep tubewell,Ground Water,NEAR CHAURAHA,HandPump,Near Lalao Devi(0001332586)
16,GONRAM,GOLA HARIJAN TOLA,Deep tubewell,Ground Water,NEAR CHABUTRA,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
17,GONRAM,HARIJAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
18,GONRAM,MAKRI,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,HP-IRP(0003758751)
19,GONRAM,MAKRI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003758761)
20,GONRAM,MAKRI,Shallow tubewell,Ground Water,MAKRI,HandPump,NC/PC 2012- 13(0004676827)
21,GONRAM,MAKRI,Shallow tubewell,Ground Water,MAKRI,HandPump,NC/PC 2012- 13(0004726601)
22,GONRAM,MAKRI,Shallow tubewell,Ground Water,NEAR CHABUTRA,HandPump,NC/PC(0001986262)
23,GONRAM,MAKRI,Deep tubewell,Ground Water,NEAR MANDIR,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
24,PAMAN,AKHARI,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001957080)
25,PAMAN,BRINBAN,Shallow tubewell,Ground Water,NEAR MANOJ CHAUDHARY,HandPump,HP-IRP(0003511491)
26,PAMAN,BRINBAN,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001957081)
27,PAMAN,BRINBAN DOM TOLA,Deep tubewell,Ground Water,,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
28,PAMAN,BRINBAN PASI TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
29,PAMAN,PAMA,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001986311)
30,PAMAN,PAMA MUSHHARI,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
31,PAMAN,PAMA RAM TOLA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0003763636)
32,PAMAN,PAMA RAM TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
33,RAGHUNATHPUR,BARACHKAL HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001957082)
34,RAGHUNATHPUR,CHAKALA,Shallow tubewell,Ground Water,NEAR CHAKLA,HandPump,NC/PC(0001957083)
35,RAGHUNATHPUR,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003763695)
36,RAGHUNATHPUR,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARI RAM TOLA,HandPump,HP-IRP(0003763697)
37,RAGHUNATHPUR,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,HP-IRP(0005630433)
38,RAGHUNATHPUR,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
39,RAGHUNATHPUR,JEMHRIA HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003763722)
40,RAGHUNATHPUR,JEMHRIA HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005630442)
41,RAGHUNATHPUR,JEMHRIA HARIJAN TOLA,Deep tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
42,RAGHUNATHPUR,NAW TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001957084)
43,RAGHUNATHPUR,RAGHUNATH PUR,Shallow tubewell,Ground Water,Aganw adis Center Akhri Code- 82,HandPump,Aganw adis(0004977774)
44,RAGHUNATHPUR,RAGHUNATH PUR,Shallow tubewell,Ground Water,Aganw adis Center Akhri Code- 82,HandPump,Angaw adis(0004947667)
45,RAGHUNATHPUR,RAGHUNATH PUR,Shallow tubewell,Ground Water,Kali Sthan,HandPump,HP-IRP(0005850904)
46,RAGHUNATHPUR,RAGHUNATH PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001986312)
47,RAGHUNATHPUR,RAGHUNATH PUR PASWAN TOLA,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,HP-IRP(0005630450)
48,RAGHUNATHPUR,RAGHUNATH PUR PASWAN TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
49,RAGHUNATHPUR,RAGHUNATHPUR HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,HP-IRP(0005630456)
50,RAGHUNATHPUR,RAGHUNATHPUR HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
51,RAGHUNATHPUR,SANTHAL TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001986315)
52,RAGHUNATHPUR,TEHARA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001986316)
