Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GOARI,CHEHARA HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003763964)
2,GOARI,CHEHARA HARIJAN TOLA,Deep tubewell,Ground Water,NEAR VILLAGE,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
3,GOARI,CHEHARA PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001957088)
4,GOARI,GUARI,Shallow tubewell,Ground Water,NEAR RAMAKANT MISHRA,HandPump,HP-IRP(0003511872)
5,GOARI,GUARI,Shallow tubewell,Ground Water,NEAR PRAMOD JHA,HandPump,HP-IRP(0003643302)
6,GOARI,GUARI,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001957089)
7,JHITKIA BHELA,JHITKIA,Shallow tubewell,Ground Water,Aganw adi Center Code- 100,HandPump,Aaganw adi(0005851096)
8,JHITKIA BHELA,JHITKIA,Shallow tubewell,Ground Water,NEAR SHAMBHU SADA,HandPump,HP-IRP(0003511828)
9,JHITKIA BHELA,JHITKIA,Shallow tubewell,Ground Water,,HandPump,HP-IRP(0003764016)
10,JHITKIA BHELA,JHITKIA,Deep tubewell,Ground Water,Ayodhi Mandal,HandPump,IM-II Hand Pump(0006560799)
11,JHITKIA BHELA,JHITKIA,Deep tubewell,Ground Water,Kedar Mandal,HandPump,IM-II Hand Pump(0006560810)
12,JHITKIA BHELA,JHITKIA,Shallow tubewell,Ground Water,NEAR VILLAGE,HandPump,NC/PC(0001986328)
13,JHITKIA BHELA,JHITKIA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
14,JHITKIA BHELA,MUSHAHRI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003764063)
15,JHITKIA BHELA,MUSHAHRI,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
16,JHITKIA BHELA,PASWAN TOLA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0003764049)
17,JHITKIA BHELA,PASWAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
18,JHITKIA BHELA,RAM TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
19,SARAUNI MADHEPURA,MASHGWA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
20,SARAUNI MADHEPURA,MASHGWA PASWAN TOLA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0005630463)
21,SARAUNI MADHEPURA,MASHGWA PASWAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Near Guru Pd Pasw an(0001332557)
22,SARAUNI MADHEPURA,MASHGWA PASWAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Near Umesh Pasw an(0001332546)
23,SARAUNI MADHEPURA,MASHGWA PASWAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
24,SARAUNI MADHEPURA,MASHGWA RAM TOLA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0003764161)
25,SARAUNI MADHEPURA,MASHGWA RAM TOLA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0005630480)
26,SARAUNI MADHEPURA,MASHGWA RAM TOLA,Deep tubewell,Ground Water,Near,HandPump,Near Sita Devi(0001332550)
27,SARAUNI MADHEPURA,MASHGWA RAM TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
28,SARAUNI MADHEPURA,RAM TOLA,Deep tubewell,Ground Water,Near,HandPump,Near Radaha Devi(0001332541)
29,SARAUNI MADHEPURA,RAM TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
30,SARAUNI MADHEPURA,SARAINI MADHEPURA,Shallow tubewell,Ground Water,NEAR PINKU KUMAR,HandPump,HP-IRP(0003511861)
31,SARAUNI MADHEPURA,SARAINI MADHEPURA,Shallow tubewell,Ground Water,NEAR ANNU KUMAR,HandPump,HP-IRP(0003511884)
32,SARAUNI MADHEPURA,SARAINI MADHEPURA,Shallow tubewell,Ground Water,Kamdev Kamat,HandPump,HP-IRP(0006049847)
33,SARAUNI MADHEPURA,SARAINI MADHEPURA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,HP-IRP(0006049855)
34,SARAUNI MADHEPURA,SARAINI MADHEPURA,Deep tubewell,Ground Water,Tetar Pasw an,HandPump,IM-II Hand Pump(0006560826)
