"ID","District","AC","SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPL�Ã�²�ï�¿�½)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]",
1,"Soharsa","Sonbarsa","Banma Itahari",1,"GHORDOUR ",2652,1343,23,200,223,1566,1366,0,36,36,0
2,"Soharsa","Sonbarsa","Banma Itahari",2,"ITAHARI ",3333,966,75,975,1050,2016,1041,0,42,42,0
3,"Soharsa","Sonbarsa","Banma Itahari",3,"JAMALNAGAR ",2205,196,829,0,829,1025,1025,0,27,27,0
4,"Soharsa","Sonbarsa","Banma Itahari",4,"MAHARAS ",1919,736,65,614,679,1415,801,0,13,13,36
5,"Soharsa","Sonbarsa","Banma Itahari",5,"RASHALPUR ",1875,1113,384,160,544,1657,1497,0,6,6,0
6,"Soharsa","Sonbarsa","Banma Itahari",6,"SAHURIYA ",2647,576,819,2,821,1397,1395,0,29,29,18
7,"Soharsa","Sonbarsa","Banma Itahari",7,"SARBELA ",2575,1753,15,151,166,1919,1768,0,0,0,0
8,"Soharsa","Sonbarsa","PATARGHAT ",1,"BISHANPUR ",2834,907,1800,0,1800,2707,2707,0,26,26,37
9,"Soharsa","Sonbarsa","PATARGHAT ",2,"DHABAULI SOUTH ",2016,1819,15,0,15,1834,1834,0,0,0,0
10,"Soharsa","Sonbarsa","PATARGHAT ",3,"DHABAULI WEST ",2329,1336,33,0,33,1369,1369,0,34,34,28
11,"Soharsa","Sonbarsa","PATARGHAT ",4,"DHABAULI EAST ",2465,1334,1,0,1,1335,1335,0,1,1,0
12,"Soharsa","Sonbarsa","PATARGHAT ",5,"GOLMA EAST ",2184,2054,7,10,17,2071,2061,0,2,2,0
13,"Soharsa","Sonbarsa","PATARGHAT ",6,"GOLMA WEST ",2266,1883,0,0,0,1883,1883,0,0,0,0
14,"Soharsa","Sonbarsa","PATARGHAT ",7,"JAMHRA ",3258,2480,704,0,704,3184,3184,0,47,47,0
15,"Soharsa","Sonbarsa","PATARGHAT ",8,"KISHANPUR ",2279,1134,562,126,688,1822,1696,0,12,12,0
16,"Soharsa","Sonbarsa","PATARGHAT ",9,"PAMA ",2261,1823,143,0,143,1966,1966,0,26,26,0
17,"Soharsa","Sonbarsa","PATARGHAT ",10,"PASTPAR ",2425,2057,161,0,161,2218,2218,0,0,0,0
18,"Soharsa","Sonbarsa","PATARGHAT ",11,"PATARGHAT ",1902,732,533,347,880,1612,1265,0,1,1,17
19,"Soharsa","Sonbarsa","SONBARSA ",1,"ATALKHA ",2670,2257,400,13,413,2670,2657,0,48,48,0
20,"Soharsa","Sonbarsa","SONBARSA ",2,"BAITH MUSHAHRI ",1717,1085,72,2,74,1159,1157,0,0,0,0
21,"Soharsa","Sonbarsa","SONBARSA ",3,"BARAITH ",2028,796,33,94,127,923,829,0,5,5,0
22,"Soharsa","Sonbarsa","SONBARSA ",4,"BARGAON ",2219,1070,332,547,879,1949,1402,0,9,9,0
23,"Soharsa","Sonbarsa","SONBARSA ",5,"BARSAM ",1091,628,37,0,37,665,665,0,0,0,0
24,"Soharsa","Sonbarsa","SONBARSA ",6,"BIRATPUR ",2342,1138,0,0,0,1138,1138,0,0,0,0
25,"Soharsa","Sonbarsa","SONBARSA ",7,"DEHAD ",2410,1340,433,226,659,1999,1773,0,0,0,0
26,"Soharsa","Sonbarsa","SONBARSA ",8,"KASHNAGAR ",2212,489,4,65,69,558,493,0,0,0,0
27,"Soharsa","Sonbarsa","SONBARSA ",9,"KHAJURAHA ",2730,2009,62,8,70,2079,2071,0,0,0,0
28,"Soharsa","Sonbarsa","SONBARSA ",10,"KOPA ",2076,1842,131,3,134,1976,1973,0,1,1,0
29,"Soharsa","Sonbarsa","SONBARSA ",11,"LAGMA ",1901,1158,347,88,435,1593,1505,0,33,33,5
30,"Soharsa","Sonbarsa","SONBARSA ",12,"MAHUA NORTH ",2618,683,186,264,450,1133,869,0,1,1,0
31,"Soharsa","Sonbarsa","SONBARSA ",13,"MANGWAR ",2532,568,496,0,496,1064,1064,0,0,0,0
32,"Soharsa","Sonbarsa","SONBARSA ",14,"MOKMA ",1948,411,150,0,150,561,561,0,0,0,0
33,"Soharsa","Sonbarsa","SONBARSA ",15,"PARARIYA ",2700,423,586,0,586,1009,1009,0,0,0,0
34,"Soharsa","Sonbarsa","SONBARSA ",16,"RAGHUNATHPUR ",2675,1378,232,384,616,1994,1610,0,0,0,0
35,"Soharsa","Sonbarsa","SONBARSA ",17,"SAHSAUL ",2214,554,162,389,551,1105,716,0,22,22,36
36,"Soharsa","Sonbarsa","SONBARSA ",18,"SARAUNI MADHEPURA ",1928,181,446,0,446,627,627,0,1,1,0
37,"Soharsa","Sonbarsa","SONBARSA ",19,"SHAHPUR ",2449,1555,168,150,318,1873,1723,0,1,1,0
38,"Soharsa","Sonbarsa","SONBARSA ",20,"SOHA ",2176,400,310,310,620,1020,710,0,5,5,37
39,"Soharsa","Sonbarsa","SONBARSA ",21,"SONBARSA ",2381,992,0,0,0,992,992,0,5,5,0
