Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHARNE,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bhimnagar Hp(0004739154)
2,CHARNE,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bhimnagar Hp(0004739154)
3,CHARNE,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530973)
4,CHARNE,CHAMAR TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530973)
5,CHARNE,CHARNE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Anganw adi Scheme(0005084771)
6,CHARNE,CHARNE,Deep Tubew ell,Ground Water,Sharma Coloney Chhabutra,HandPump,Chhatapur Anganw adi Scheme(0005084771)
7,CHARNE,CHARNE,Deep Tubew ell,Ground Water,,PWS,Chhatapur Mini Water Supply Scheme(0004672678)
8,CHARNE,CHARNE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396283)
9,CHARNE,CHARNE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396283)
10,CHARNE,HARIZON TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396286)
11,CHARNE,HARIZON TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396286)
12,CHARNE,HARIZON TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396286)
13,CHARNE,HARIZON TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396284)
14,CHARNE,HARIZON TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396284)
15,CHARNE,HARIZON TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396284)
16,CHARNE,MANDAL TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Hand Pump Schems(0002689175)
17,CHARNE,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Hand Pump Schems(0002689175)
18,CHARNE,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396288)
19,CHARNE,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396288)
20,CHARNE,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396289)
21,CHARNE,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396289)
22,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Hand Pump Schems(0002689175)
23,CHARNE,MANDAL TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Hand Pump Schems(0002689175)
24,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396292)
25,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396292)
26,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396300)
27,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396300)
28,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396302)
29,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396302)
30,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396308)
31,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396308)
32,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396321)
33,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396321)
34,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396323)
35,CHARNE,MANDAL TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396323)
36,CHARNE,MEHTA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001963436)
37,CHARNE,MEHTA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001963436)
38,CHARNE,MEHTA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396312)
39,CHARNE,MEHTA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396312)
40,CHARNE,MEHTA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396312)
41,CHARNE,MEHTA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433479)
42,CHARNE,MEHTA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433479)
43,CHARNE,MEHTA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Bihmpur Hp(0004676721)
44,CHARNE,MEHTA TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bihmpur Hp(0004676721)
45,CHARNE,MEHTA TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bihmpur Hp(0004676721)
46,CHARNE,MEHTA TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Spot Source Scheme(0004016296)
47,CHARNE,MEHTA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396314)
48,CHARNE,MEHTA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396314)
49,CHARNE,MEHTA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396331)
50,CHARNE,MEHTA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002396331)
51,CHARNE,MINYAN TOLA,Shallow Tubew ell,Ground Water,SARDAR Bisundeo,HandPump,NC/PC(0001963432)
