Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAIJNATHPUR,BAIJNATH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001410174)
2,BAIJNATHPUR,BAIJNATH PUR,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001410174)
3,BAIJNATHPUR,BAIJNATH PUR,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001410181)
4,BAIJNATHPUR,BAIJNATH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001410181)
5,BAIJNATHPUR,BAIJNATH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
6,BAIJNATHPUR,BAIJNATH PUR,Deep Tubew ell,Ground Water,,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
7,BAIJNATHPUR,BAIJNATH PUR,Deep Tubew ell,Ground Water,,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
8,BAIJNATHPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552387)
9,BAIJNATHPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552387)
10,BAIJNATHPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
11,BAIJNATHPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
12,BAIJNATHPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
13,BAIJNATHPUR,PASWAN TOLA+AC0-1,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001520862)
14,BAIJNATHPUR,PASWAN TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001520862)
15,BAIJNATHPUR,PASWAN TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001520862)
16,BAIJNATHPUR,PASWAN TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540154)
17,BAIJNATHPUR,PASWAN TOLA+AC0-2,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552388)
18,BAIJNATHPUR,PASWAN TOLA+AC0-2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552388)
19,BAIJNATHPUR,PASWAN TOLA+AC0-2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552388)
20,BAIJNATHPUR,PASWAN TOLA+AC0-2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540158)
21,BAIJNATHPUR,YADAV TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552389)
22,BAIJNATHPUR,YADAV TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552389)
23,BAIJNATHPUR,YADAV TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552389)
24,BAIJNATHPUR,YADAV TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540163)
25,BARANTPUR,ANSARI TOLA+AC0-1,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552390)
26,BARANTPUR,ANSARI TOLA+AC0-1,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552390)
27,BARANTPUR,ANSARI TOLA+AC0-1,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552390)
28,BARANTPUR,ANSARI TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540172)
29,BARANTPUR,ANSARI TOLA+AC0-2,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552391)
30,BARANTPUR,ANSARI TOLA+AC0-2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552391)
31,BARANTPUR,ANSARI TOLA+AC0-2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552391)
32,BARANTPUR,ANSARI TOLA+AC0-2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540184)
33,BARANTPUR,BARANT PUR,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552392)
34,BARANTPUR,BARANT PUR,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552392)
35,BARANTPUR,BARANT PUR,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552392)
36,BARANTPUR,BARANT PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540191)
37,BARANTPUR,CHAMAR TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552393)
38,BARANTPUR,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552393)
39,BARANTPUR,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552393)
40,BARANTPUR,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540197)
41,BARANTPUR,MIYAN TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552394)
42,BARANTPUR,MIYAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552394)
43,BARANTPUR,MIYAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552394)
44,BARANTPUR,MIYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540217)
45,BARANTPUR,NONIA TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552395)
46,BARANTPUR,NONIA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552395)
47,BARANTPUR,NONIA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552395)
48,BARANTPUR,NONIA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540221)
49,BASANTPUR,AMRET CHAK TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552396)
50,BASANTPUR,AMRET CHAK TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552396)
51,BASANTPUR,AMRET CHAK TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Anganw adi Scheme(0005085510)
52,BASANTPUR,AMRET CHAK TOLA,Deep Tubew ell,Ground Water,Anganw adi Amrit Chouk,HandPump,Basantpur Anganw adi Scheme(0005085510)
53,BASANTPUR,AMRET CHAK TOLA,Shallow Tubew ell,Ground Water,Insidehabitation,HandPump,Spot Source(0006540227)
