Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHAGWANPUR,BHAGWANPUR,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552419)
2,BHAGWANPUR,BHAGWANPUR,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552419)
3,BHAGWANPUR,BHAGWANPUR,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Anganw adi Scheme(0005085510)
4,BHAGWANPUR,BHAGWANPUR,Deep Tubew ell,Ground Water,Anganw adi,HandPump,Basantpur Anganw adi Scheme(0005085510)
5,BHAGWANPUR,BHAGWANPUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540516)
6,BHAGWANPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552420)
7,BHAGWANPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552420)
8,BHAGWANPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
9,BHAGWANPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
10,BHAGWANPUR,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
11,BHAGWANPUR,MEHATA TOLA+AC0- 3,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552421)
12,BHAGWANPUR,MEHATA TOLA+AC0- 3,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552421)
13,BHAGWANPUR,MEHATA TOLA+AC0- 3,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552421)
14,BHAGWANPUR,MEHATA TOLA+AC0- 3,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540522)
15,BHAGWANPUR,MEHTA TOLA+AC0-1,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552422)
16,BHAGWANPUR,MEHTA TOLA+AC0-1,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552422)
17,BHAGWANPUR,MEHTA TOLA+AC0-1,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552422)
18,BHAGWANPUR,MEHTA TOLA+AC0-2,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552423)
19,BHAGWANPUR,MEHTA TOLA+AC0-2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552423)
20,BHAGWANPUR,MEHTA TOLA+AC0-2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552423)
21,BHAGWANPUR,MEHTA TOLA+AC0-2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540525)
22,BHAGWANPUR,MEHTA TOLA+AC0-4,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552424)
23,BHAGWANPUR,MEHTA TOLA+AC0-4,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552424)
24,BHAGWANPUR,MEHTA TOLA+AC0-4,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552424)
25,BHAGWANPUR,MUSHARI,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552425)
26,BHAGWANPUR,MUSHARI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552425)
27,BHAGWANPUR,MUSHARI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
28,BHAGWANPUR,MUSHARI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
29,BHAGWANPUR,MUSHARI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Basantpur Iron Aff. Habitation Scheme(0005548668)
30,BHAGWANPUR,SUTIHAR TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552426)
31,BHAGWANPUR,SUTIHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552426)
32,BHAGWANPUR,SUTIHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552426)
33,BHAGWANPUR,SUTIHAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540528)
34,DUBIAHI,DUBIYAHI,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552427)
35,DUBIAHI,DUBIYAHI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552427)
36,DUBIAHI,DUBIYAHI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552427)
37,DUBIAHI,DUBIYAHI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006540534)
