Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHIMNAGAR,AGRABAL TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552473)
2,BHIMNAGAR,AGRABAL TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552473)
3,BHIMNAGAR,AGRABAL TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552473)
4,BHIMNAGAR,AGRABAL TOLA,Deep Tubew ell,Ground Water,Tube Well No. 2,HandPump,QA Scheme For Basantpur(0007140873)
5,BHIMNAGAR,AGRABAL TOLA,Deep Tubew ell,Ground Water,Tube Well No. 1,HandPump,QA Scheme For Basantpur(0007140873)
6,BHIMNAGAR,BHART TOLA+AC0- 2,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552474)
7,BHIMNAGAR,BHART TOLA+AC0- 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552474)
8,BHIMNAGAR,BHART TOLA+AC0- 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552474)
9,BHIMNAGAR,BHART TOLA+AC0- 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006541091)
10,BHIMNAGAR,BHAT TOLA+AC0-1,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001520633)
11,BHIMNAGAR,BHAT TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001520633)
12,BHIMNAGAR,BHAT TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001520638)
13,BHIMNAGAR,BHAT TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001520638)
14,BHIMNAGAR,BHAT TOLA+AC0-1,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001520638)
15,BHIMNAGAR,BHAT TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006541094)
16,BHIMNAGAR,BHIMNAGAR,Deep Tubew ell,Ground Water,,HandPump,Basantpur Hp(0004676688)
17,BHIMNAGAR,BHIMNAGAR,Deep Tubew ell,Ground Water,,HandPump,Basantpur Hp(0004676688)
