Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BISHUNPUR CHAUDHARY,ANSARI TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001410150)
2,BISHUNPUR CHAUDHARY,ANSARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001410150)
3,BISHUNPUR CHAUDHARY,ANSARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001410150)
4,BISHUNPUR CHAUDHARY,ANSARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006541188)
5,BISHUNPUR CHAUDHARY,BIRAJI TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552489)
6,BISHUNPUR CHAUDHARY,BIRAJI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552489)
7,BISHUNPUR CHAUDHARY,BIRAJI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552489)
8,BISHUNPUR CHAUDHARY,BIRAJI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006541202)
9,BISHUNPUR CHAUDHARY,BISHANPUR CHODHARY,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552490)
10,BISHUNPUR CHAUDHARY,BISHANPUR CHODHARY,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552490)
11,BISHUNPUR CHAUDHARY,BISHANPUR CHODHARY,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552490)
12,BISHUNPUR CHAUDHARY,CHODHARY TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001410147)
13,BISHUNPUR CHAUDHARY,CHODHARY TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001410147)
14,BISHUNPUR CHAUDHARY,CHODHARY TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001410147)
15,BISHUNPUR CHAUDHARY,CHODHARY TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006541214)
16,BISHUNPUR CHAUDHARY,MANDAL TOLA+AC0-1,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552491)
