Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GHAUSPURPATTI,GHAUSPUR PATTI,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552661)
2,GHAUSPURPATTI,GHAUSPUR PATTI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552661)
3,GHAUSPURPATTI,GHAUSPUR PATTI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552661)
4,GHAUSPURPATTI,GHAUSPUR PATTI,Deep Tubew ell,Ground Water,T/W 1,HandPump,Basantpur Spot Source Scheme(0007084791)
5,GHAUSPURPATTI,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552662)
6,GHAUSPURPATTI,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552662)
7,GHAUSPURPATTI,HARIJAN TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552662)
8,GHAUSPURPATTI,HARIJAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali (Basantpur) Iron Aff. Habitation Scheme(0005650187)
9,GHAUSPURPATTI,HARIJAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali (Basantpur) Iron Aff. Habitation Scheme(0005650187)
10,GHAUSPURPATTI,MIYAN TOLA,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552663)
11,GHAUSPURPATTI,MIYAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552663)
12,GHAUSPURPATTI,MIYAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552663)
13,GHAUSPURPATTI,MIYAN TOLA,Deep Tubew ell,Ground Water,T/W 1,HandPump,Basantpur Spot Source Scheme(0007084791)
14,GHAUSPURPATTI,MUSAHARI,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552664)
15,GHAUSPURPATTI,MUSAHARI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552664)
16,GHAUSPURPATTI,MUSAHARI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552664)
17,GHAUSPURPATTI,MUSAHARI,Deep Tubew ell,Ground Water,,HandPump,Nirmali (Basantpur) Iron Aff. Habitation Scheme(0005650187)
18,GHAUSPURPATTI,MUSAHARI,Deep Tubew ell,Ground Water,,HandPump,Nirmali (Basantpur) Iron Aff. Habitation Scheme(0005650187)
19,GHAUSPURPATTI,PASWAN TOLA+AC0- 1,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552665)
20,GHAUSPURPATTI,PASWAN TOLA+AC0- 1,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552665)
21,GHAUSPURPATTI,PASWAN TOLA+AC0- 1,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552665)
22,GHAUSPURPATTI,PASWAN TOLA+AC0- 1,Deep Tubew ell,Ground Water,T/W 1,HandPump,Basantpur Spot Source Scheme(0007084791)
23,GHAUSPURPATTI,PASWAN TOLA+AC0- 2,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552666)
24,GHAUSPURPATTI,PASWAN TOLA+AC0- 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552666)
25,GHAUSPURPATTI,PASWAN TOLA+AC0- 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552666)
26,GHAUSPURPATTI,PASWAN TOLA+AC0- 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006543950)
27,JHIRWA,CHAMAR TOLA EAST,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552667)
28,JHIRWA,CHAMAR TOLA EAST,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552667)
29,JHIRWA,CHAMAR TOLA EAST,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552667)
30,JHIRWA,CHAMAR TOLA EAST,Deep Tubew ell,Ground Water,,HandPump,Nirmali (Basantpur) Iron Aff. Habitation Scheme(0005650187)
31,JHIRWA,CHAMAR TOLA EAST,Deep Tubew ell,Ground Water,,HandPump,Nirmali (Basantpur) Iron Aff. Habitation Scheme(0005650187)
32,JHIRWA,CHAMAR TOLA+AC0-1,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552668)
33,JHIRWA,CHAMAR TOLA+AC0-1,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,ARWSP(0004552668)
34,JHIRWA,CHAMAR TOLA+AC0-1,Deep Tubew ell,Ground Water,ARWSP,SPOT,ARWSP(0004552668)
35,JHIRWA,CHAMAR TOLA+AC0-1,Deep Tubew ell,Ground Water,,HandPump,Nirmali (Basantpur) Iron Aff. Habitation Scheme(0005650187)
36,JHIRWA,CHAMAR TOLA+AC0-1,Deep Tubew ell,Ground Water,,HandPump,Nirmali (Basantpur) Iron Aff. Habitation Scheme(0005650187)
37,JHIRWA,JHIRWA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001414147)
38,JHIRWA,JHIRWA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001414147)
39,JHIRWA,JHIRWA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001414151)
40,JHIRWA,JHIRWA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001414151)
41,JHIRWA,JHIRWA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Bhimnagar Hp(0004739154)
42,JHIRWA,JHIRWA,Deep Tubew ell,Ground Water,,HandPump,Bhimnagar Hp(0004739154)
43,JHIRWA,JHIRWA,Deep Tubew ell,Ground Water,Pramri School Jhirw a,HandPump,School Scheme For Basantpur(0006226997)
44,JHIRWA,KHATBE TOLA+AC0-1,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001533863)
45,JHIRWA,KHATBE TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001533863)
46,JHIRWA,KHATBE TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001533863)
47,JHIRWA,KHATBE TOLA+AC0-1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006543967)
