Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DARHARIA,BRAHAMAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Hand Pump Schems(0002689175)
2,DARHARIA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Hand Pump Schems(0002689175)
3,DARHARIA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406033)
4,DARHARIA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406033)
5,DARHARIA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406221)
6,DARHARIA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406221)
7,DARHARIA,CHAKLA CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406102)
8,DARHARIA,CHAKLA CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406102)
9,DARHARIA,CHAKLA CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406102)
10,DARHARIA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406107)
11,DARHARIA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406107)
12,DARHARIA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406107)
13,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433077)
14,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433077)
15,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433083)
16,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433083)
17,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433086)
18,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433086)
19,DARHARIA,DEHARIA,Deep Tubew ell,Ground Water,Panchyat House 138,HandPump,Chhatapur Anganw adi Scheme(0005084771)
20,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Anganw adi Scheme(0005084771)
21,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965012)
22,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Nilam Kumari,HandPump,NC/PC(0001965012)
23,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Primary School Mushahari Tola Daharia,HandPump,School Quality Habitation(0004162979)
24,DARHARIA,DEHARIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,School Quality Habitation(0004162979)
25,DARHARIA,DHOBI TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532638)
