Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARHMOTAR,BRAHA MOTRA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964001)
2,BARHMOTAR,BRAHA MOTRA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964001)
3,BARHMOTAR,BRAHA MOTRA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964001)
4,BARHMOTAR,MINYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001963995)
5,BARHMOTAR,MINYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001963995)
6,BARHMOTAR,MINYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001963995)
7,BARHMOTAR,MINYAN TOLA 2,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004531063)
8,BARHMOTAR,MINYAN TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004531063)
9,BARHMOTAR,MINYAN TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004531063)
10,BARHMOTAR,MINYAN TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546355)
11,BARHMOTAR,SEIKH TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004531064)
12,BARHMOTAR,SEIKH TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004531064)
13,BARHMOTAR,SEIKH TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004531064)
14,BARHMOTAR,SEIKH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546365)
15,LACHHMINIA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001964002)
16,LACHHMINIA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964002)
17,LACHHMINIA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964002)
18,LACHHMINIA,DOM TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bihmpur Hp(0004676721)
