Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DATHI RATANSAR,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
2,DATHI RATANSAR,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
3,DATHI RATANSAR,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
4,DATHI RATANSAR,MANDAL TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
5,DATHI RATANSAR,MINYAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
6,DATHI RATANSAR,MINYAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
7,DATHI RATANSAR,MINYAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
8,DATHI RATANSAR,MUSAHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
9,DATHI RATANSAR,MUSAHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
10,DATHI RATANSAR,MUSAHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
11,DATHI RATANSAR,MUSAHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
12,DATHI RATANSAR,PATHI RATANSAR,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
13,DATHI RATANSAR,PATHI RATANSAR,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
14,DATHI RATANSAR,PATHI RATANSAR,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
15,DATHI RATANSAR,PATHI RATANSAR,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
16,DATHI RATANSAR,SARDAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
17,DATHI RATANSAR,SARDAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
18,DATHI,SARDAR,Deep,Ground,Inside,HandPump,Chhatarpur Sohatha
19,DATHI RATANSAR,SARDAR TOLA I,Deep Tubew ell,Ground Water,T/W 1,HandPump,Chhatapur Spot Source Scheme(0007084845)
20,DATHI RATANSAR,SARDAR TOLA I,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532708)
21,DATHI RATANSAR,SARDAR TOLA I,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532708)
22,DATHI RATANSAR,SARDAR TOLA I,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532708)
23,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,,HandPump,(Madhopur) Chhatapur Iron Aff. Habitation Scheme(0005648324)
24,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,,HandPump,(Madhopur) Chhatapur Iron Aff. Habitation Scheme(0005648324)
25,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532709)
26,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532709)
27,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532709)
28,PATTI NIYAMAT URF GIRDHARPATTI,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
29,PATTI NIYAMAT URF GIRDHARPATTI,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
30,PATTI NIYAMAT URF GIRDHARPATTI,MANDAL TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
31,PATTI NIYAMAT URF GIRDHARPATTI,MINYA TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
32,PATTI NIYAMAT URF GIRDHARPATTI,MINYA TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
33,PATTI NIYAMAT URF GIRDHARPATTI,MINYA TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
34,PATTI NIYAMAT URF GIRDHARPATTI,MINYA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
35,PATTI NIYAMAT URF GIRDHARPATTI,MUSAHARI,Deep Tubew ell,Ground Water,T/W 1,HandPump,Chhatapur Spot Source Scheme(0007084845)
36,PATTI NIYAMAT URF GIRDHARPATTI,MUSAHARI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532710)
37,PATTI NIYAMAT URF GIRDHARPATTI,MUSAHARI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532710)
38,PATTI NIYAMAT URF GIRDHARPATTI,MUSAHARI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532710)
39,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
40,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
41,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
42,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
43,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
44,PATTI NIYAMAT URF GIRDHARPATTI,SARDAR TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
