"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BATHNAHA","BATHNAHA","Shallow Tubew ell","Ground Water",,"HandPump","NC/PC(0001974037)"
2,"BATHNAHA","BATHNAHA","Shallow Tubew ell","Ground Water","Inside Habitation","HandPump","NC/PC(0001974037)"
3,"BATHNAHA","BATHNAHA","Shallow Tubew ell","Ground Water","Inside Habitation","HandPump","NC/PC(0001974037)"
4,"BATHNAHA","CHAMAR TOLA","Deep Tubew ell","Ground Water","Inside Habitation","HandPump","Nirmali Block Ht Scheme(0004023315)"
5,"BATHNAHA","CHAMAR TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Block Ht Scheme(0004023315)"
6,"BATHNAHA","CHAMAR TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Block Ht Scheme(0004023315)"
7,"BATHNAHA","CHAMAR TOLA","Shallow Tubew ell","Ground Water","Inside Habitation","HandPump","Spot Source(0006546964)"
8,"BATHNAHA","CHAMAR TOLA","Deep Tubew ell","Ground Water","Inside Habitation","SPOT","Nc/Pc Scheme For Nirmali Block(0004532829)"
9,"BATHNAHA","CHAMAR TOLA","Deep Tubew ell","Ground Water","Nc/Pc Scheme For Nirmali Block","SPOT","Nc/Pc Scheme For Nirmali Block(0004532829)"
10,"BATHNAHA","CHAMAR TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Bela Hp(0004680518)"
11,"BATHNAHA","CHAMAR TOLA","Deep Tubew ell","Ground Water","Inside Habitation","HandPump","Nirmali Bela Hp(0004680518)"
12,"BATHNAHA","DAS TOLA","Deep Tubew ell","Ground Water","Inside Habitation","HandPump","Nirmali Bela Hp(0004680518)"
13,"BATHNAHA","DAS TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Bela Hp(0004680518)"
14,"BATHNAHA","DAS TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Block Ht Scheme(0004023315)"
15,"BATHNAHA","KUMHAR TOLA","Deep Tubew ell","Ground Water","Inside Habitation","HandPump","Nirmali Bela Hp(0004680518)"
16,"BATHNAHA","KUMHAR TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Bela Hp(0004680518)"
17,"BATHNAHA","KUMHAR TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Block Ht Scheme(0004023315)"
18,"BATHNAHA","MAHTO TOLA","Shallow Tubew ell","Ground Water","Inside Habitation","HandPump","NC/PC(0002388592)"
19,"BATHNAHA","MAHTO TOLA","Shallow Tubew ell","Ground Water",,"HandPump","NC/PC(0002388592)"
20,"BATHNAHA","MAHTO TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Block Ht Scheme(0004023315)"
21,"BATHNAHA","MAHTO TOLA","Shallow Tubew ell","Ground Water","Inside Habitation","HandPump","Nirmali Block Ht Scheme(0004023315)"
22,"BATHNAHA","MAHTO TOLA","Deep Tubew ell","Ground Water","T/W 1","HandPump","Nirmali QA Scheme(0007084847)"
23,"BATHNAHA","MAHTO TOLA","Shallow Tubew ell","Ground Water","Inside Habitation","HandPump","Spot Source(0006546965)"
24,"BATHNAHA","MAHTO TOLA","Shallow Tubew ell","Ground Water",,"HandPump","NC/PC(0001974046)"
25,"BATHNAHA","MAHTO TOLA","Shallow Tubew ell","Ground Water","Inside Habitation","HandPump","NC/PC(0001974046)"
26,"BATHNAHA","MAHTO TOLA","Shallow Tubew ell","Ground Water","Inside Habitation","HandPump","NC/PC(0001974046)"
27,"BATHNAHA","MAHTO TOLA","Deep Tubew ell","Ground Water","T/W 1","HandPump","Nirmali QA Scheme(0007084847)"
28,"BATHNAHA","MALLAH TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Bela Hp(0004680518)"
29,"BATHNAHA","MALLAH TOLA","Deep Tubew ell","Ground Water","Inside Habitation","HandPump","Nirmali Bela Hp(0004680518)"
30,"BATHNAHA","MALLAH TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Block Ht Scheme(0004023315)"
31,"BATHNAHA","MANDAL TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Bela Hp(0004680518)"
32,"BATHNAHA","MANDAL TOLA","Deep Tubew ell","Ground Water","Inside Habitation","HandPump","Nirmali Bela Hp(0004680518)"
33,"BATHNAHA","MANDAL TOLA","Deep Tubew ell","Ground Water",,"HandPump","Nirmali Block Ht Scheme(0004023315)"
