Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DEBIPUR,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533071)
2,DEBIPUR,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533071)
3,DEBIPUR,CHAMAR TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Raghopur Block,SPOT,Nc/Pc Scheme For Raghopur Block(0004533071)
4,DEBIPUR,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Spot Source Scheme(0005706787)
5,DEBIPUR,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Spot Source Scheme(0005706787)
6,DEBIPUR,CHAUDHARY TOLA,Deep Tubew ell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
7,DEBIPUR,CHAUDHARY TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
8,DEBIPUR,CHAUDHARY TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Block Ht Scheme(0004024550)
9,DEBIPUR,DEWIPUR,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001414462)
10,DEBIPUR,DEWIPUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001414462)
11,DEBIPUR,DEWIPUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391810)
12,DEBIPUR,DEWIPUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391810)
13,DEBIPUR,DEWIPUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391811)
14,DEBIPUR,DEWIPUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391811)
15,DEBIPUR,DEWIPUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
16,DEBIPUR,DEWIPUR,Deep Tubew ell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
17,DEBIPUR,DEWIPUR,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023336)
18,DEBIPUR,DEWIPUR,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023337)
19,DEBIPUR,DEWIPUR,Shallow Tubew ell,Ground Water,Utcarmic Middel School Jahlipati,HandPump,School Source(0006564677)
20,DEBIPUR,DHOBI TOLA,Deep Tubew ell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
21,DEBIPUR,DHOBI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
22,DEBIPUR,DHOBI TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Block Ht Scheme(0004024550)
23,DEBIPUR,GODHI TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001978520)
24,DEBIPUR,GODHI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978520)
25,DEBIPUR,GODHI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978520)
26,DEBIPUR,HARIZON TOLA,Deep Tubew ell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
27,DEBIPUR,HARIZON TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
28,DEBIPUR,HARIZON TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Block Ht Scheme(0004024550)
29,DEBIPUR,HATA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533072)
30,DEBIPUR,HATA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533072)
31,DEBIPUR,HATA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Raghopur Block,SPOT,Nc/Pc Scheme For Raghopur Block(0004533072)
32,DEBIPUR,HATA TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Spot Source Scheme(0005706787)
33,DEBIPUR,HATA TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Spot Source Scheme(0005706787)
34,DEBIPUR,HATA TOLA 2,Deep Tubew ell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
35,DEBIPUR,HATA TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
36,DEBIPUR,HATA TOLA 2,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023336)
37,DEBIPUR,HATA TOLA 2,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023337)
38,DEBIPUR,JAHALIPATTI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001966366)
39,DEBIPUR,JAHALIPATTI TOLA,Shallow Tubew ell,Ground Water,Buchai Sah,HandPump,NC/PC(0001966366)
40,DEBIPUR,JAHALIPATTI TOLA,Deep Tubew ell,Ground Water,Anganw adi,HandPump,Raghopur Anganw adi Scheme(0005086084)
41,DEBIPUR,JAHALIPATTI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Raghopur Anganw adi Scheme(0005086084)
42,DEBIPUR,KAMAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001978525)
43,DEBIPUR,KAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978525)
44,DEBIPUR,KAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978525)
45,DEBIPUR,KUMHAR TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Raghopur Block,SPOT,Nc/Pc Scheme For Raghopur Block(0004533073)
46,DEBIPUR,KUMHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533073)
47,DEBIPUR,KUMHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533073)
48,DEBIPUR,KUMHAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006551579)
49,DEBIPUR,MIYAN TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391823)
50,DEBIPUR,MIYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391823)
51,DEBIPUR,MIYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391824)
52,DEBIPUR,MIYAN TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391824)
53,DEBIPUR,MIYAN TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391825)
54,DEBIPUR,MIYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391825)
55,DEBIPUR,MIYAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023336)
56,DEBIPUR,MIYAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023337)
57,DEBIPUR,MIYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Raghopur Sopt Source Scheme(0004023337)
58,DEBIPUR,MUSAHARI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533074)
59,DEBIPUR,MUSAHARI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533074)
60,DEBIPUR,MUSAHARI TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Raghopur Block,SPOT,Nc/Pc Scheme For Raghopur Block(0004533074)
61,DEBIPUR,MUSAHARI TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Spot Source Scheme(0005706787)
62,DEBIPUR,MUSAHARI TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Spot Source Scheme(0005706787)
63,DEBIPUR,MUSALMAN TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001978529)
64,DEBIPUR,MUSALMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978529)
65,DEBIPUR,MUSALMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978529)
66,DEBIPUR,PASWAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533075)
