Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAJDARI CHAKLA,ANSARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001958557)
2,BAJDARI CHAKLA,ANSARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001958557)
3,BAJDARI CHAKLA,ANSARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi T/W Scheme(0004025005)
4,BAJDARI CHAKLA,ANSARI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi T/W Scheme(0004025005)
5,BAJDARI CHAKLA,BAIDARCHAKLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001958560)
6,BAJDARI CHAKLA,BAIDARCHAKLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001958560)
7,BAJDARI CHAKLA,BAIDARCHAKLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi T/W Scheme(0004025005)
8,BAJDARI CHAKLA,BAIDARCHAKLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi T/W Scheme(0004025005)
9,BAJDARI CHAKLA,MEHTA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi Spot Source Scheme(0005708068)
10,BAJDARI CHAKLA,MEHTA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi Spot Source Scheme(0005708068)
11,BAJDARI CHAKLA,MEHTA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi T/W Scheme(0004025005)
12,BAJDARI CHAKLA,MEHTA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi T/W Scheme(0004025005)
13,BAJDARI CHAKLA,MUSALMAN TOLA1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001958562)
14,BAJDARI CHAKLA,MUSALMAN TOLA1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001958562)
15,BAJDARI CHAKLA,MUSALMAN TOLA1,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi T/W Scheme(0004025005)
16,BAJDARI CHAKLA,MUSALMAN TOLA1,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi T/W Scheme(0004025005)
