Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,HUSLI MILK,DOM TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
2,HUSLI MILK,DOM TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
3,HUSLI MILK,DOM TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959087)
4,HUSLI MILK,DOM TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959087)
5,HUSLI MILK,DOM TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
6,HUSLI MILK,HUSLI MILK,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
7,HUSLI MILK,HUSLI MILK,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
8,HUSLI MILK,HUSLI MILK,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959091)
9,HUSLI MILK,HUSLI MILK,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959091)
10,HUSLI MILK,HUSLI MILK,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
11,HUSLI MILK,HUSLI MILK,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
12,HUSLI MILK,MUSAHARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959099)
13,HUSLI MILK,MUSAHARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959099)
14,HUSLI MILK,MUSAHARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959099)
