Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,JHILA DUMRI,AMATH TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001959103)
2,JHILA DUMRI,AMATH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959103)
3,JHILA DUMRI,AMATH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959103)
4,JHILA DUMRI,AMATH TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001545929)
5,JHILA DUMRI,AMATH TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001545929)
6,JHILA DUMRI,AMATH TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959109)
7,JHILA DUMRI,AMATH TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959109)
8,JHILA DUMRI,AMATH TOLA+ACo-,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
9,JHILA DUMRI,AMATH TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
10,JHILA DUMRI,BELDAR TOLA,Shallow Tubew ell,Ground Water,MOS. SARSWATI DEVI,HandPump,ARWSP(0001401557)
11,JHILA DUMRI,BELDAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001401557)
12,JHILA DUMRI,BELDAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
13,JHILA DUMRI,BELDAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
14,JHILA DUMRI,BELDAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959113)
15,JHILA DUMRI,BELDAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959113)
16,JHILA DUMRI,BELDAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
17,JHILA DUMRI,BHOBE PATTI AMATH TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001959127)
18,JHILA DUMRI,BHOBE PATTI AMATH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959127)
19,JHILA DUMRI,BHOBE PATTI AMATH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959127)
20,JHILA DUMRI,BHOBE PATTI CHAMAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001959151)
21,JHILA DUMRI,BHOBE PATTI CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959151)
22,JHILA DUMRI,BHOBE PATTI CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959151)
23,JHILA DUMRI,BHOBE PATTI MEHTA,Deep Tubew ell,Ground Water,,HandPump,Husli Hp(0004685969)
24,JHILA DUMRI,BHOBE PATTI MEHTA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
25,JHILA DUMRI,BHOBE PATTI MEHTA,Deep Tubew ell,Ground Water,,HandPump,Saraigarh Hand Pump Scheme(0004083809)
26,JHILA DUMRI,BRAHMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001545924)
27,JHILA DUMRI,BRAHMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001545924)
28,JHILA DUMRI,BRAHMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001545924)
29,JHILA DUMRI,BRAHMAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi Spot Source Scheme(0005708068)
30,JHILA DUMRI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Rameshw ar Das,HandPump,NC/PC(0001954921)
31,JHILA DUMRI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001954921)
32,JHILA DUMRI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
33,JHILA DUMRI,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
34,JHILA DUMRI,CHOUDHARY TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
35,JHILA DUMRI,CHOUDHARY TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
36,JHILA DUMRI,CHOUDHARY TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
37,JHILA DUMRI,DHOBI PATTI GUPTA TOLA,Deep Tubew ell,Ground Water,,HandPump,Husli Hp(0004685969)
38,JHILA DUMRI,DHOBI PATTI GUPTA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
39,JHILA DUMRI,DHOBI PATTI GUPTA TOLA,Deep Tubew ell,Ground Water,,HandPump,Saraigarh Hand Pump Scheme(0004083809)
40,JHILA DUMRI,DHOBI PATTI SUTIHAR,Deep Tubew ell,Ground Water,,HandPump,Husli Hp(0004685969)
41,JHILA DUMRI,DHOBI PATTI SUTIHAR,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
42,JHILA DUMRI,DHOBI PATTI SUTIHAR,Deep Tubew ell,Ground Water,,HandPump,Saraigarh Hand Pump Scheme(0004083809)
43,JHILA DUMRI,DHOBI TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme ForSaraigarh Block,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533149)
44,JHILA DUMRI,DHOBI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533149)
45,JHILA DUMRI,DHOBI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533149)
46,JHILA DUMRI,DHOBI TOLA,Deep Tubew ell,Ground Water,,HandPump,Saraigarh Bhaptiyahi Spot Source Scheme(0005708068)
47,JHILA DUMRI,DHUNIA TOLA,Shallow Tubew ell,Ground Water,Maszid (Sadanandpur),HandPump,NC/PC(0001954319)
48,JHILA DUMRI,DHUNIA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001954319)
49,JHILA DUMRI,DHUNIA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001954319)
50,JHILA DUMRI,DHUNIA TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001545919)
51,JHILA DUMRI,DHUNIA TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001545919)
52,JHILA DUMRI,DHUNIA TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001954320)
53,JHILA DUMRI,DHUNIA TOLA+ACo-,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001954320)
54,JHILA DUMRI,DHUNIA TOLA+ACo-,Shallow Tubew ell,Ground Water,Maszid(Moukar),HandPump,NC/PC(0001954320)
55,JHILA DUMRI,DUMRI CHAMAR TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme ForSaraigarh Block,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533150)
56,JHILA DUMRI,DUMRI CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533150)
57,JHILA DUMRI,DUMRI CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533150)
58,JHILA DUMRI,DUMRI CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Saraigarh Bhaptiyahi Spot Source Scheme(0005708068)
59,JHILA DUMRI,JERIA AMATH TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
60,JHILA DUMRI,JERIA AMATH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
61,JHILA DUMRI,JERIA AMATH TOLA,Shallow Tubew ell,Ground Water,Sunil Kumar,HandPump,NC/PC(0001954321)
62,JHILA DUMRI,JERIA AMATH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001954321)
63,JHILA DUMRI,JERIA AMATH TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
64,JHILA DUMRI,JHALA DUMRI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
65,JHILA DUMRI,JHALA DUMRI,Deep Tubew ell,Ground Water,Ramjanki Mandir 35,HandPump,Saraigarh Anganw adi Scheme(0005084659)
66,JHILA DUMRI,JHALA DUMRI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Anganw adi Scheme(0005084659)
67,JHILA DUMRI,JHALA DUMRI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Hand Pump Scheme(0004083809)
68,JHILA DUMRI,JHALA DUMRI,Shallow Tubew ell,Ground Water,Primary School Bishanpur Puranw ash,HandPump,School Source(0006559501)
69,JHILA DUMRI,JHALA DUMRI,Shallow Tubew ell,Ground Water,Primary School Upander Mandal Tola BhoKar,HandPump,School Source(0006560018)
70,JHILA DUMRI,JHALA DUMRI,Shallow Tubew ell,Ground Water,Primary School Jagashw ar Mehta Tola Bishanpur,HandPump,School Source(0006560293)
71,JHILA DUMRI,KHATBE TOLA,Deep Tubew ell,Ground Water,,HandPump,Husli Hp(0004685969)
72,JHILA DUMRI,KHATBE TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Husli Hp(0004685969)
73,JHILA DUMRI,KHATBE TOLA,Deep Tubew ell,Ground Water,,HandPump,Saraigarh Hand Pump Scheme(0004083809)
74,JHILA DUMRI,KHATBE TOLA+ACo-,Deep Tubew ell,Ground Water,Nc/Pc Scheme ForSaraigarh Block,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533151)
75,JHILA DUMRI,KHATBE TOLA+ACo-,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533151)
76,JHILA DUMRI,KHATBE TOLA+ACo-,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533151)
77,JHILA DUMRI,KHATBE TOLA+ACo-,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Saraigarh Bhaptiyahi Spot Source Scheme(0005708068)
78,JHILA DUMRI,KUMHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533152)
79,JHILA DUMRI,KUMHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533152)
80,JHILA DUMRI,KUMHAR TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme ForSaraigarh Block,SPOT,Nc/Pc Scheme ForSaraigarh Block(0004533152)
81,JHILA DUMRI,KUMHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Saraigarh Bhaptiyahi Spot Source Scheme(0005708068)
82,JHILA DUMRI,MALLAH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001545916)
