Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BANANIA,BANAINIA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Nirmali Block,SPOT,Nc/Pc Scheme For Nirmali Block(0004532804)
2,BANANIA,BANAINIA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532804)
3,BANANIA,BANAINIA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532804)
4,BANANIA,BANAINIA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546932)
5,BANANIA,MAHATO TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Nirmali Block,SPOT,Nc/Pc Scheme For Nirmali Block(0004532805)
6,BANANIA,MAHATO TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532805)
7,BANANIA,MAHATO TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532805)
8,BANANIA,MAHATO TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546933)
9,DHARHARA,DHARHARA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001546145)
10,DHARHARA,DHARHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001546145)
11,DHARHARA,DHARHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001546145)
12,DHARHARA,DHARHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546934)
13,DHARHARA,HARIJAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Nirmali Block,SPOT,Nc/Pc Scheme For Nirmali Block(0004532806)
14,DHARHARA,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532806)
15,DHARHARA,HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532806)
16,DHARHARA,HARIJAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Iron Aff. Habitation Scheme(0005686740)
17,DHARHARA,HARIJAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Iron Aff. Habitation Scheme(0005686740)
18,DHARHARA,KUMAHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532807)
19,DHARHARA,KUMAHAR TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Nirmali Block,SPOT,Nc/Pc Scheme For Nirmali Block(0004532807)
20,DHARHARA,KUMAHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532807)
21,DHARHARA,KUMAHAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546930)
22,DHARHARA,MAHATO TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Nirmali Block,SPOT,Nc/Pc Scheme For Nirmali Block(0004532808)
23,DHARHARA,MAHATO TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532808)
24,DHARHARA,MAHATO TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532808)
25,DHARHARA,MAHATO TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546935)
26,DHARHARA,MALLAH TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532809)
27,DHARHARA,MALLAH TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532809)
28,DHARHARA,MALLAH TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Nirmali Block,SPOT,Nc/Pc Scheme For Nirmali Block(0004532809)
29,DHARHARA,MALLAH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546937)
30,DHARHARA,MEHATA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Nirmali Block,SPOT,Nc/Pc Scheme For Nirmali Block(0004532810)
31,DHARHARA,MEHATA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532810)
32,DHARHARA,MEHATA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532810)
33,DHARHARA,MEHATA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546939)
