Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,JARAULI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143040)
2,JARAULI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001143040)
3,JARAULI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387779)
4,JARAULI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387779)
5,JARAULI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387942)
6,JARAULI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387942)
7,JARAULI,CHAMAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387942)
8,JARAULI,JAROULI GOOT,Deep Tubew ell,Ground Water,,HandPump,Marauna Spot Source Scheme(0004018110)
9,JARAULI,JAROULI GOOT,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387782)
10,JARAULI,JAROULI GOOT,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387782)
11,JARAULI,JAROULI GOOT,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387788)
12,JARAULI,JAROULI GOOT,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387788)
13,JARAULI,JAROULI GOOT,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
14,JARAULI,JAROULI GOOT,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
15,JARAULI,KAMAT TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001974495)
16,JARAULI,KAMAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974495)
17,JARAULI,KAMAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974495)
18,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001546156)
19,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001546156)
20,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001546159)
21,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001546159)
22,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001546161)
23,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001546161)
24,JARAULI,KEBAT TOLA,Deep Tubew ell,Ground Water,,HandPump,Marauna Spot Source Scheme(0004018110)
25,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387900)
26,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387900)
27,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387901)
28,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387901)
29,JARAULI,KEBAT TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
30,JARAULI,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
31,JARAULI,KUMHAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001143084)
32,JARAULI,KUMHAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143084)
33,JARAULI,KUMHAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974498)
34,JARAULI,KUMHAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001974498)
35,JARAULI,KUMHAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974498)
36,JARAULI,MANDAL TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001143091)
37,JARAULI,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143091)
38,JARAULI,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974501)
39,JARAULI,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974501)
40,JARAULI,MANDAL TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001974501)
41,JARAULI,MIYAN TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001974507)
42,JARAULI,MIYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974507)
43,JARAULI,MIYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974507)
44,JARAULI,PASWAN TOLA I,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001143088)
45,JARAULI,PASWAN TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143088)
46,JARAULI,PASWAN TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387915)
47,JARAULI,PASWAN TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387915)
48,JARAULI,PASWAN TOLA I,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387915)
49,JARAULI,PASWAN TOLA II,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387917)
50,JARAULI,PASWAN TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387917)
51,JARAULI,PASWAN TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387951)
52,JARAULI,PASWAN TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387951)
53,JARAULI,PASWAN TOLA II,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387951)
54,JARAULI,SAH TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001974512)
55,JARAULI,SAH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974512)
56,JARAULI,SAH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974512)
57,JARAULI,THAKUR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001546162)
58,JARAULI,THAKUR TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001546162)
59,JARAULI,THAKUR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
60,JARAULI,THAKUR TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
61,JARAULI,THAKUR TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
62,MAHUA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002388620)
63,MAHUA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002388620)
64,MAHUA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002388665)
65,MAHUA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002388665)
66,MAHUA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002388665)
67,MAHUA,DOBEN TOLA,Deep Tubew ell,Ground Water,,HandPump,Marauna Spot Source Scheme(0004018110)
68,MAHUA,DOBEN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387952)
69,MAHUA,DOBEN TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387952)
70,MAHUA,DOBEN TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387954)
71,MAHUA,DOBEN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387954)
72,MAHUA,DOBEN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
73,MAHUA,DOBEN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
74,MAHUA,ISMAILE TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001974517)
75,MAHUA,ISMAILE TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974517)
76,MAHUA,ISMAILE TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974517)
77,MAHUA,KEBAT TOLA,Deep Tubew ell,Ground Water,,HandPump,Marauna Spot Source Scheme(0004018110)
78,MAHUA,KEBAT TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387958)
79,MAHUA,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387958)
80,MAHUA,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387960)
81,MAHUA,KEBAT TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387960)
82,MAHUA,KEBAT TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
83,MAHUA,KEBAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
84,MAHUA,MAHUWA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0004018110)
85,MAHUA,MAHUWA,Deep Tubew ell,Ground Water,,HandPump,Marauna Spot Source Scheme(0004018110)
86,MAHUA,MAHUWA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387965)
87,MAHUA,MAHUWA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387965)
88,MAHUA,MAHUWA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387970)
89,MAHUA,MAHUWA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387970)
90,MAHUA,MAHUWA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387971)
91,MAHUA,MAHUWA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387971)
92,MAHUA,MAHUWA,Deep Tubew ell,Ground Water,T/W 1,HandPump,Nirmali QA Scheme(0007084847)
93,MAHUA,MUSHARI,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387977)
94,MAHUA,MUSHARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387977)
95,MAHUA,MUSHARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387977)
96,MAHUA,PASWAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
97,MAHUA,PASWAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
98,MAHUA,PASWAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
99,MAHUA,YADV TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001974521)
100,MAHUA,YADV TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974521)
101,MAHUA,YADV TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974521)
102,MAJHARI,AMATH TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
103,MAJHARI,AMATH TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Block Ht Scheme(0004023315)
104,MAJHARI,BRAHMAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Nirmali Block,SPOT,Nc/Pc Scheme For Nirmali Block(0004532832)
105,MAJHARI,BRAHMAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532832)
106,MAJHARI,BRAHMAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Nirmali Block(0004532832)
107,MAJHARI,BRAHMAN TOLA,Deep Tubew ell,Ground Water,T/W 1,HandPump,Nirmali QA Scheme(0007084847)
108,MAJHARI,BRAHMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546972)
109,MAJHARI,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
110,MAJHARI,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
111,MAJHARI,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
112,MAJHARI,DHANUK TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
113,MAJHARI,DHANUK TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
114,MAJHARI,DHANUK TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
115,MAJHARI,DOM TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
116,MAJHARI,DOM TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
117,MAJHARI,DOM TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
118,MAJHARI,KHATBE TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
119,MAJHARI,KHATBE TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Block Ht Scheme(0004023315)
120,MAJHARI,KHATBE TOLA,Deep Tubew ell,Ground Water,T/W 1,HandPump,Nirmali QA Scheme(0007084847)
121,MAJHARI,KOARI TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
122,MAJHARI,KOARI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
123,MAJHARI,KOARI TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
124,MAJHARI,KUMHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
125,MAJHARI,KUMHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
126,MAJHARI,KUMHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
127,MAJHARI,MAHATO TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
128,MAJHARI,MAHATO TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
129,MAJHARI,MAHATO TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Block Ht Scheme(0004023315)
130,MAJHARI,MAHATO TOLA 2,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001974559)
131,MAJHARI,MAHATO TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974559)
132,MAJHARI,MAHATO TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001974559)
133,MAJHARI,MAJARI,Deep Tubew ell,Ground Water,,HandPump,Marauna Spot Source Scheme(0004018110)
134,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387984)
135,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387984)
136,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387985)
137,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387985)
138,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387989)
139,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387989)
140,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002387994)
141,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002387994)
142,MAJHARI,MAJARI,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
143,MAJHARI,MAJARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
144,MAJHARI,MAJARI HARIJAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nirmali Bela Hp(0004680518)
145,MAJHARI,MAJARI HARIJAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Nirmali Bela Hp(0004680518)
