Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHARAHARA,BAKHO TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001414642)
2,DHARAHARA,BAKHO TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001414642)
3,DHARAHARA,BAKHO TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391857)
4,DHARAHARA,BAKHO TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391857)
5,DHARAHARA,BAKHO TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391857)
6,DHARAHARA,BAKHO TOLA 2,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Raghopur Block,SPOT,Nc/Pc Scheme For Raghopur Block(0004533080)
7,DHARAHARA,BAKHO TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533080)
8,DHARAHARA,BAKHO TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533080)
9,DHARAHARA,BAKHO TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006551623)
10,DHARAHARA,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Block Ht Scheme(0004024550)
11,DHARAHARA,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Raghopur Block Ht Scheme(0004024550)
12,DHARAHARA,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Spot Source Scheme(0005706787)
13,DHARAHARA,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Spot Source Scheme(0005706787)
14,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001414637)
15,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001414637)
16,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391877)
17,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391877)
18,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391878)
19,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391878)
20,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391884)
21,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391884)
22,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391886)
23,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391886)
24,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391903)
25,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391903)
26,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391904)
27,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391904)
28,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391906)
29,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391906)
30,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391913)
31,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391913)
32,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391915)
33,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391915)
34,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391916)
35,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391916)
36,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391917)
37,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391917)
38,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391934)
39,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391934)
40,DHARAHARA,DHARAHARA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Raghopur Dharahara Hp(0004682871)
41,DHARAHARA,DHARAHARA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Dharahara Hp(0004682871)
42,DHARAHARA,DHARAHARA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023336)
43,DHARAHARA,DHARAHARA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023337)
44,DHARAHARA,DHARHARA KAMAT TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Block Ht Scheme(0004024550)
45,DHARAHARA,DHARHARA KAMAT TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Dharahara Hp(0004682871)
46,DHARAHARA,DHARHARA KAMAT TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Raghopur Dharahara Hp(0004682871)
