Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BASAWANPATTI,BASAWAN PATTI,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001978595)
2,BASAWANPATTI,BASAWAN PATTI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978595)
3,BASAWANPATTI,BASAWAN PATTI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978595)
4,BASAWANPATTI,GODHI TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Raghopur Block,SPOT,Nc/Pc Scheme For Raghopur Block(0004533124)
5,BASAWANPATTI,GODHI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533124)
6,BASAWANPATTI,GODHI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533124)
7,BASAWANPATTI,GODHI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006552880)
8,BASAWANPATTI,HAMAT TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533125)
9,BASAWANPATTI,HAMAT TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Raghopur Block(0004533125)
10,BASAWANPATTI,HAMAT TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Raghopur Block,SPOT,Nc/Pc Scheme For Raghopur Block(0004533125)
11,BASAWANPATTI,HAMAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006552924)
12,BASAWANPATTI,HAMAT TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006552928)
13,BASAWANPATTI,HARIZON TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002393965)
14,BASAWANPATTI,HARIZON TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002393965)
15,BASAWANPATTI,HARIZON TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002393965)
16,BASAWANPATTI,KHATABE TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978597)
17,BASAWANPATTI,KHATABE TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001978597)
18,BASAWANPATTI,KHATABE TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Dharahara Hp(0004682871)
19,BASAWANPATTI,KHATABE TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Raghopur Dharahara Hp(0004682871)
20,BASAWANPATTI,KHATABE TOLA,Deep Tubew ell,Ground Water,,HandPump,Raghopur Sopt Source Scheme(0004023336)
21,BASAWANPATTI,MAGAHI TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001978598)
