Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHANDPIPAR,AMATH TOLA 3,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
2,CHANDPIPAR,AMATH TOLA 3,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959594)
3,CHANDPIPAR,AMATH TOLA 3,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001959594)
4,CHANDPIPAR,AMATH TOLA 3,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Pipra Khurd Hp(0004686282)
5,CHANDPIPAR,AMATH TOLA 3,Deep Tubew ell,Ground Water,,HandPump,Pipra Khurd Hp(0004686282)
6,CHANDPIPAR,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
7,CHANDPIPAR,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Pipra Khurd Hp(0004686282)
8,CHANDPIPAR,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pipra Khurd Hp(0004686282)
9,CHANDPIPAR,CHAMAR TOLA 3,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
10,CHANDPIPAR,CHAMAR TOLA 3,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
11,CHANDPIPAR,CHAMAR TOLA 3,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959615)
12,CHANDPIPAR,CHAMAR TOLA 3,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001959615)
13,CHANDPIPAR,CHAMAR TOLA 4,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
14,CHANDPIPAR,CHAMAR TOLA 4,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959619)
15,CHANDPIPAR,CHAMAR TOLA 4,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001959619)
16,CHANDPIPAR,CHAMAR TOLA 4,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Pipra Khurd Hp(0004686282)
17,CHANDPIPAR,CHAMAR TOLA 4,Deep Tubew ell,Ground Water,,HandPump,Pipra Khurd Hp(0004686282)
18,CHANDPIPAR,CHAMARTOLA 2,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
19,CHANDPIPAR,CHAMARTOLA 2,Deep Tubew ell,Ground Water,,HandPump,Pipra Khurd Hp(0004686282)
20,CHANDPIPAR,CHAMARTOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pipra Khurd Hp(0004686282)
21,CHANDPIPAR,DHUNIA TOLA,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
22,CHANDPIPAR,DHUNIA TOLA,Deep Tubew ell,Ground Water,,HandPump,Pipra Khurd Hp(0004686282)
23,CHANDPIPAR,DHUNIA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pipra Khurd Hp(0004686282)
24,CHANDPIPAR,DHUNIA TOLA 2,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
25,CHANDPIPAR,DHUNIA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959628)
26,CHANDPIPAR,DHUNIA TOLA 2,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001959628)
27,CHANDPIPAR,DHUNIA TOLA 2,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Pipra Khurd Hp(0004686282)
28,CHANDPIPAR,DHUNIA TOLA 2,Deep Tubew ell,Ground Water,,HandPump,Pipra Khurd Hp(0004686282)
29,CHANDPIPAR,DHUNIA TOLA 3,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
30,CHANDPIPAR,DHUNIA TOLA 3,Deep Tubew ell,Ground Water,,HandPump,Pipra Khurd Hp(0004686282)
31,CHANDPIPAR,DHUNIA TOLA 3,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pipra Khurd Hp(0004686282)
32,CHANDPIPAR,FAKIR TOLA,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
33,CHANDPIPAR,FAKIR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
34,CHANDPIPAR,FAKIR TOLA,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001959632)
35,CHANDPIPAR,FAKIR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001959632)
36,CHANDPIPAR,KAMAT TOLA,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
37,CHANDPIPAR,KAMAT TOLA,Deep Tubew ell,Ground Water,,HandPump,Pipra Khurd Hp(0004686282)
38,CHANDPIPAR,KAMAT TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Pipra Khurd Hp(0004686282)
39,CHANDPIPAR,KHATBE TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001546038)
40,CHANDPIPAR,KHATBE TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001546038)
41,CHANDPIPAR,KHATBE TOLA,Deep Tubew ell,Ground Water,,HandPump,Block Saraigarh QA Habs Scheme(0004087050)
