Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960631)
2,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960631)
3,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002398787)
4,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002398787)
5,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002398788)
6,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002398788)
7,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002398789)
8,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002398789)
9,ANDAULI,ANDAULEE,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002398789)
10,ANDAULI,ANDAULEE MUSAHARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001956197)
11,ANDAULI,ANDAULEE MUSAHARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001956197)
12,ANDAULI,ANDAULEE MUSAHARI,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001956197)
13,ANDAULI,BAIDYA NATH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001743655)
14,ANDAULI,BAIDYA NATH PUR,Shallow Tubew ell,Ground Water,ARJUN SADA,HandPump,ARWSP(0001743655)
15,ANDAULI,BAIDYA NATH PUR,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Kishanpur Block QA Habs. Scheme(0004090580)
16,ANDAULI,BAIDYA NATH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Kishanpur Iron Aff. Habitation Scheme(0005601982)
17,ANDAULI,BAIDYA NATH PUR,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Kishanpur Iron Aff. Habitation Scheme(0005601982)
18,ANDAULI,BAIDYA NATH PUR,Shallow Tubew ell,Ground Water,Domi Sardar,HandPump,NC/PC(0001956171)
19,ANDAULI,BAIDYA NATH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001956171)
20,ANDAULI,BAIDYA NATH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001956176)
21,ANDAULI,BAIDYA NATH PUR,Shallow Tubew ell,Ground Water,Bijndra Yadav,HandPump,NC/PC(0001956176)
