Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001960512)
2,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960512)
3,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391092)
4,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391092)
5,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391099)
6,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391099)
7,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391101)
8,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391101)
9,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391103)
10,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391103)
11,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391104)
12,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391104)
13,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391105)
14,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391105)
15,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0002391194)
16,BISHUNPUR,BISHAN PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002391194)
