Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARAHRA,BARHARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001563941)
2,BARAHRA,BARHARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001563941)
3,BARAHRA,BARHARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
4,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
5,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
6,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
7,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
8,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
9,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
10,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
11,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
12,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
13,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
14,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
15,BARAHRA,BARHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Kishanpur Meha Simar Hp(0004679204)
16,BARAHRA,BARHARA,Deep tubewell,Ground Water,Hand Pump 2,HandPump,Marauna QA Scheme(0007084846)
17,BARAHRA,BARHARA,Deep tubewell,Ground Water,Hand Pump 1,HandPump,Marauna QA Scheme(0007084846)
18,BARAHRA,BARHARA MIA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
19,BARAHRA,BARHARA MIA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
20,BARAHRA,BARHARA MIA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546653)
21,BARAHRA,GAZHARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143628)
22,BARAHRA,GAZHARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143628)
23,BARAHRA,GAZHARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143628)
24,BARAHRA,KOA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
25,BARAHRA,KOA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
26,BARAHRA,KOA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546657)
27,BARAHRA,MAHIS BEEHA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
28,BARAHRA,MAHIS BEEHA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
29,BARAHRA,MAHIS BEEHA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546662)
30,BARAHRA,MAZHOURA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143643)
31,BARAHRA,MAZHOURA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143643)
32,BARAHRA,MAZHOURA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143643)
33,BARAHRA,MOHAN PUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143610)
34,BARAHRA,MOHAN PUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143610)
35,BARAHRA,MOHAN PUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001143610)
36,BARAHRA,PIPAR PANTEE,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955625)
37,BARAHRA,PIPAR PANTEE,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955625)
38,BARAHRA,PIPAR PANTEE,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955625)
39,BARAHRA,PIPAR PANTEE,Shallow tubewell,Ground Water,Primary School Piperpantee,HandPump,School Source(0006557400)
40,BARAHRA,TETRAHI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
41,BARAHRA,TETRAHI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
42,BARAHRA,TETRAHI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
43,BARAHRA,TETRAHI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
44,BARAHRA,TIKSHARA,Shallow tubewell,Ground Water,Rama Kant Mandal,HandPump,NC/PC(0001955616)
45,BARAHRA,TIKSHARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955616)
46,BARAHRA,TIKSHARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955616)
47,KONI INAMAT,HARIZAN TOLA,Shallow tubewell,Ground Water,Narayan Ram,HandPump,NC/PC(0001955610)
48,KONI INAMAT,HARIZAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955610)
49,KONI INAMAT,HARIZAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955610)
50,KONI INAMAT,KONEE INAMAT,Shallow tubewell,Ground Water,Sheo Kumar Mandal,HandPump,NC/PC(0001955605)
51,KONI INAMAT,KONEE INAMAT,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955605)
52,KONI INAMAT,KONEE INAMAT,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001955605)
53,MANHARPATTI,MANOHER PATTER,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
54,MANHARPATTI,MANOHER PATTER,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
55,MANHARPATTI,MANOHER PATTER,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546669)
56,MANHARPATTI,MIA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
57,MANHARPATTI,MIA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
58,MANHARPATTI,MIA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546672)
59,MANHARPATTI,RAM TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
60,MANHARPATTI,RAM TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
61,MANHARPATTI,RAM TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
62,MANHARPATTI,RAM TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
63,MANHARPATTI,TATMA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
64,MANHARPATTI,TATMA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
65,MANHARPATTI,TATMA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546678)
66,PACHGACHHIA,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
67,PACHGACHHIA,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
68,PACHGACHHIA,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
69,PACHGACHHIA,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
70,PACHGACHHIA,DOM TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
71,PACHGACHHIA,DOM TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
72,PACHGACHHIA,DOM TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
73,ACHGACHHIA,DOM TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
74,ACHGACHHIA,GORHI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
75,ACHGACHHIA,GORHI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
76,ACHGACHHIA,GORHI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546685)
77,ACHGACHHIA,KONEE H. TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
78,ACHGACHHIA,KONEE H. TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
79,ACHGACHHIA,KONEE H. TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
80,ACHGACHHIA,KONEE H. TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
81,ACHGACHHIA,MIYA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
82,ACHGACHHIA,MIYA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Marauna Spot Source Scheme(0005704766)
