Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHABGHAT,CHAMAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme or Marauna Block 8,SPOT,Nc/Pc Scheme For Marauna Block(0004532737)
2,DHABGHAT,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Marauna Block(0004532737)
3,DHABGHAT,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Marauna Block(0004532737)
4,DHABGHAT,CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546755)
5,DHABGHAT,DHAWGHAT,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977975)
6,DHABGHAT,DHAWGHAT,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977975)
7,DHABGHAT,DHAWGHAT,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977976)
8,DHABGHAT,DHAWGHAT,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977976)
9,DHABGHAT,DHAWGHAT,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977976)
10,DHABGHAT,KEWTA PATHI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977977)
11,DHABGHAT,KEWTA PATHI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977977)
12,DHABGHAT,KEWTA PATHI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977978)
13,DHABGHAT,KEWTA PATHI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977978)
14,DHABGHAT,KEWTA PATHI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977978)
15,DHABGHAT,LALPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Marauna Block,SPOT,Nc/Pc Scheme For Marauna Block(0004532738)
16,DHABGHAT,LALPUR,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Marauna Block(0004532738)
17,DHABGHAT,LALPUR,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Marauna Block(0004532738)
18,DHABGHAT,LALPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546759)
19,DHABGHAT,MUSHHARI,Deep tubewell,Ground Water,,HandPump,Marauna Spot Source Scheme(0005704766)
20,DHABGHAT,MUSHHARI,Deep tubewell,Ground Water,,HandPump,Marauna Spot Source Scheme(0005704766)
21,DHABGHAT,MUSHHARI,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Marauna Block(0004532739)
22,DHABGHAT,MUSHHARI,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Marauna Block(0004532739)
23,DHABGHAT,MUSHHARI,Deep tubewell,Ground Water,Nc/Pc Scheme For Marauna Block,SPOT,Nc/Pc Scheme For Marauna Block(0004532739)
24,DHABGHAT,PASWAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Marauna Block,SPOT,Nc/Pc Scheme For Marauna Block(0004532740)
25,DHABGHAT,PASWAN TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Marauna Block(0004532740)
26,DHABGHAT,PASWAN TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Marauna Block(0004532740)
27,DHABGHAT,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546762)
28,KADMAHA,KADMAHA,Deep tubewell,Ground Water,,HandPump,Kishanpur Meha Simar Hp(0004679204)
29,KADMAHA,KADMAHA,Deep tubewell,Ground Water,,HandPump,Kishanpur Meha Simar Hp(0004679204)
30,KADMAHA,KADMAHA,Deep tubewell,Ground Water,,HandPump,Kishanpur Meha Simar Hp(0004679204)
