Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,LALMANIA,DHOBE TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001342343)
2,LALMANIA,DHOBE TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001342343)
3,LALMANIA,DHOBE TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001342343)
4,LALMANIA,DHOBE TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,Marauna QA Scheme(0007084846)
5,LALMANIA,ITHARI,Deep tubewell,Ground Water,,HandPump,Marauna Spot Source Scheme(0004018110)
6,LALMANIA,ITHARI,Deep tubewell,Ground Water,,HandPump,Marauna Spot Source Scheme(0005704766)
7,LALMANIA,ITHARI,Deep tubewell,Ground Water,,HandPump,Marauna Spot Source Scheme(0005704766)
8,LALMANIA,ITHARI,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
9,LALMANIA,ITHARI,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
10,LALMANIA,ITHARI,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
11,LALMANIA,ITHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Maruana Lalminiya Hp(0004679444)
12,LALMANIA,ITHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002388255)
13,LALMANIA,ITHARI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002388255)
14,LALMANIA,ITHARI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002388261)
15,LALMANIA,ITHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002388261)
16,LALMANIA,ITHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002388267)
17,LALMANIA,ITHARI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002388267)
18,LALMANIA,ITHARI CHAMAR TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001338927)
19,LALMANIA,ITHARI CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001338927)
20,LALMANIA,ITHARI CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001338927)
21,LALMANIA,ITHARI CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546765)
22,LALMANIA,LALMINIYA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001338938)
23,LALMANIA,LALMINIYA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001338938)
24,LALMANIA,LALMINIYA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Maruana Lalminiya Hp(0004679444)
25,LALMANIA,LALMINIYA,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
26,LALMANIA,LALMINIYA,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
27,LALMANIA,LALMINIYA,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
28,LALMANIA,LALMINIYA,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
29,LALMANIA,LALMINIYA,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
30,LALMANIA,LALMINIYA,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
31,LALMANIA,LALMINIYA,Deep tubewell,Ground Water,,HandPump,Maruana Lalminiya Hp(0004679444)
32,LALMANIA,LALMINIYA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977996)
33,LALMANIA,LALMINIYA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977996)
34,LALMANIA,LALMINIYA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977998)
35,LALMANIA,LALMINIYA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977998)
36,LALMANIA,LALMINIYA,Shallow tubewell,Ground Water,Primary School Lachmineya,HandPump,School Source(0006560488)
