Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001448309)
2,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001448309)
3,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001448318)
4,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001448318)
5,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,SHIVU YADAV,HandPump,ARWSP(0001741604)
6,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001741604)
7,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001741606)
8,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,NAGASHWAR PASWAN,HandPump,ARWSP(0001741606)
9,BAIRO,B. HARIJAN TOLA,Deep tubewell,Ground Water,In Side Habitation,HandPump,Spot Source Scheme Iron Affected(0004768779)
10,BAIRO,B. HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,Spot Source Scheme Iron Affected(0004768779)
11,BAIRO,B. HARIJAN TOLA-1,Deep tubewell,Ground Water,In Side Habitation,SPOT,Nc/Pc Scheme For Supaul Block(0004533169)
12,BAIRO,B. HARIJAN TOLA-1,Deep tubewell,Ground Water,Nc/Pc Scheme For Supaul Block,SPOT,Nc/Pc Scheme For Supaul Block(0004533169)
13,BAIRO,B. HARIJAN TOLA-1,Deep tubewell,Ground Water,In Side Habitation,HandPump,Spot Source Scheme Iron Affected(0004768779)
14,BAIRO,B. HARIJAN TOLA-1,Deep tubewell,Ground Water,In Side Habitation,HandPump,Spot Source Scheme Iron Affected(0004768779)
15,BAIRO,BAIRO,Shallow tubewell,Ground Water,MAKSUDAN PASWAN,HandPump,ARWSP(0001740541)
16,BAIRO,BAIRO,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001740541)
17,BAIRO,BAIRO,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001987880)
18,BAIRO,BAIRO,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001987880)
19,BAIRO,BAIRO,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001987881)
20,BAIRO,BAIRO,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001987881)
21,BAIRO,BAIRO,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001987883)
22,BAIRO,BAIRO,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001987883)
23,BAIRO,BAIRO,Deep tubewell,Ground Water,In Side Habitation,HandPump,Supaul Spot Source Scheme(0004017607)
24,BAIRO,BAIRO,Shallow tubewell,Ground Water,In Side Habitation,HandPump,Supaul Spot Source Scheme(0004017607)
25,BAIRO,BAIRO RUPAULI,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001448312)
26,BAIRO,BAIRO RUPAULI,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001448312)
27,BAIRO,BAIRO RUPAULI,Deep tubewell,Ground Water,In Side Habitation,HandPump,Pratapganj Hp(0004745848)
28,BAIRO,BAIRO RUPAULI,Deep tubewell,Ground Water,In Side Habitation,HandPump,Spot Source Scheme Iron Affected(0004768779)
29,BAIRO,BAIRO RUPAULI,Shallow tubewell,Ground Water,In Side Habitation,HandPump,Spot Source Scheme Iron Affected(0004768779)
