Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAKAUR,BAKAUR,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001446561)
2,BAKAUR,BAKAUR,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001446561)
3,BAKAUR,BAKAUR,Shallow tubewell,Ground Water,Md. Taslim,HandPump,NC/PC(0001963237)
4,BAKAUR,BAKAUR,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001963237)
5,BAKAUR,BAKAUR,Deep tubewell,Ground Water,In Side Habitation,HandPump,Pratapganj Hp(0004745848)
6,BAKAUR,BAKAUR,Shallow tubewell,Ground Water,In Side Habitation,HandPump,Pratapganj Hp(0004745848)
7,BAKAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001978795)
8,BAKAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001978795)
9,BAKAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001978795)
10,BAKAUR,KHATBE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Supaul Block,SPOT,Nc/Pc Scheme For Supaul Block(0004533177)
11,BAKAUR,KHATBE TOLA,Deep tubewell,Ground Water,In Side Habitation,SPOT,Nc/Pc Scheme For Supaul Block(0004533177)
12,BAKAUR,KHATBE TOLA,Deep tubewell,Ground Water,In Side Habitation,SPOT,Nc/Pc Scheme For Supaul Block(0004533177)
13,BAKAUR,KHATBE TOLA,Deep tubewell,Ground Water,In Side Habitation,HandPump,Supaul (Amha) Spot Source Scheme(0005708128)
14,BAKAUR,MALLAH TOLA,Deep tubewell,Ground Water,In Side Habitation,SPOT,Nc/Pc Scheme For Supaul Block(0004533178)
15,BAKAUR,MALLAH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Supaul Block,SPOT,Nc/Pc Scheme For Supaul Block(0004533178)
16,BAKAUR,MALLAH TOLA,Deep tubewell,Ground Water,In Side Habitation,HandPump,Pratapganj Hp(0004745848)
17,BAKAUR,MALLAH TOLA,Deep tubewell,Ground Water,In Side Habitation,HandPump,Pratapganj Hp(0004745848)
18,BAKAUR,MALLAH TOLA,Deep tubewell,Ground Water,In Side Habitation,HandPump,Supaul (Amha) Spot Source Scheme(0005708128)
19,BAKAUR,MANDAL TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001446565)
20,BAKAUR,MANDAL TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001446565)
21,BAKAUR,MANDAL TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,ARWSP(0001446565)
22,BAKAUR,MUSHAHRI TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001978798)
23,BAKAUR,MUSHAHRI TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001978798)
24,BAKAUR,MUSHAHRI TOLA,Shallow tubewell,Ground Water,In Side Habitation,HandPump,NC/PC(0001978798)
25,BAKAUR,SHARMA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Supaul Block,SPOT,Nc/Pc Scheme For Supaul Block(0004533179)
26,BAKAUR,SHARMA TOLA,Deep tubewell,Ground Water,In Side Habitation,SPOT,Nc/Pc Scheme For Supaul Block(0004533179)
27,BAKAUR,SHARMA TOLA,Deep tubewell,Ground Water,In Side Habitation,SPOT,Nc/Pc Scheme For Supaul Block(0004533179)
28,BIJALPUR,B. HARIJAN TOLA,Shallow tubewell,Ground Water,BAMBAM SADA,HandPump,ARWSP(0001740401)
