Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001563916)
2,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001563916)
3,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001563919)
4,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001563919)
5,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988164)
6,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988164)
7,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988165)
8,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988165)
9,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988166)
10,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988166)
11,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988167)
12,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988167)
13,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988168)
14,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988168)
15,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988169)
16,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988169)
17,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988170)
18,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988170)
19,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988171)
20,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988171)
21,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988172)
22,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988172)
23,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988174)
24,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988174)
25,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Deep tubewell,Ground Water,,PWS,Ramdat Patti Mini Water Supply Scheme(0004687156)
26,CHAIN SINGH PATTI,CHAIN SINGH PATTI,Deep tubewell,Ground Water,,HandPump,Supaul Spot Source Scheme(0004017607)
27,CHAIN SINGH PATTI e,CHAIN SINGH PATTI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Supaul Spot Source Scheme(0004017607)
28,CHAIN SINGH PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,RAMWALI YADAV,HandPump,ARWSP(0001740709)
29,CHAIN SINGH PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740709)
30,CHAIN SINGH PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740717)
31,CHAIN SINGH PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,MUNASHWARI DEVI,HandPump,ARWSP(0001740717)
32,CHAIN SINGH PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,LAXMI RAM,HandPump,ARWSP(0001741623)
33,CHAIN SINGH PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001741623)
34,CHAIN SINGH PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001741625)
35,CHAIN SINGH PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,KARTICK KAMAT,HandPump,ARWSP(0001741625)
