Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MALHANI,HARIJAN TOLA,Shallow tubewell,Ground Water,FAKNE PASWAN,HandPump,ARWSP(0001740602)
2,MALHANI,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740602)
3,MALHANI,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740602)
4,MALHANI,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006554443)
5,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,SHYAM SUNDAR KAMAT,HandPump,ARWSP(0001740606)
6,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740606)
7,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001741609)
8,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,MADHAN THAKUR,HandPump,ARWSP(0001741609)
9,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,RANJIT PASWAN,HandPump,ARWSP(0001741611)
10,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001741611)
11,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988375)
12,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988375)
13,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988376)
14,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988376)
15,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988377)
16,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988377)
17,MALHANI,M. CHOUDHARY TOLA,Deep tubewell,Ground Water,,HandPump,Supaul Amha Hp(0004686617)
18,MALHANI,M. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Supaul Amha Hp(0004686617)
19,MALHANI,M. CHOUDHARY TOLA,Deep tubewell,Ground Water,,HandPump,SUPAUL HT SCHEME(0002690103)
