Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARUARI,BARUARI,Shallow tubewell,Ground Water,UMASH SINGH,HandPump,ARWSP(0001740699)
2,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740699)
3,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740704)
4,BARUARI,BARUARI,Shallow tubewell,Ground Water,DHUKHNE DEVI,HandPump,ARWSP(0001740704)
5,BARUARI,BARUARI,Shallow tubewell,Ground Water,NERMLA DEVI,HandPump,ARWSP(0001741620)
6,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001741620)
7,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988140)
8,BARUARI,BARUARI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988140)
9,BARUARI,BARUARI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988141)
10,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988141)
11,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988141)
12,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,SCHOOL(0001986627)
13,BARUARI,BARUARI,Shallow tubewell,Ground Water,A. Middel School Baruari,HandPump,SCHOOL(0001986627)
14,BARUARI,BARUARI,Shallow tubewell,Ground Water,Girl Pramri School Baruari,HandPump,SCHOOL(0001986629)
15,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,SCHOOL(0001986629)
16,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,SCHOOL(0001986661)
17,BARUARI,BARUARI,Shallow tubewell,Ground Water,K. Middel School Baruari,HandPump,SCHOOL(0001986661)
18,BARUARI,BARUARI,Shallow tubewell,Ground Water,Pramri School Baruari,HandPump,SCHOOL(0001986662)
19,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,SCHOOL(0001986662)
20,BARUARI,BARUARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,SCHOOL(0001986665)
21,BARUARI,BARUARI,Shallow tubewell,Ground Water,Pramri School Harijan Baruari,HandPump,SCHOOL(0001986665)
22,BARUARI,BRAHMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001963264)
23,BARUARI,BRAHMAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001963264)
