Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BELA,B. MANDAL TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988182)
2,BELA,B. MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988182)
3,BELA,B. MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988183)
4,BELA,B. MANDAL TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988183)
5,BELA,B. MANDAL TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988185)
6,BELA,B. MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988185)
7,BELA,B. MANDAL TOLA,Deep tubewell,Ground Water,,HandPump,SUPAUL HT SCHEME(0002690103)
8,BELA,B. MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,SUPAUL HT SCHEME(0002690103)
9,BELA,BELA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001448429)
10,BELA,BELA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001448429)
11,BELA,BELA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740732)
12,BELA,BELA,Shallow tubewell,Ground Water,MANTU TATE,HandPump,ARWSP(0001740732)
13,BELA,BELA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740732)
14,BELA,BELA,Deep tubewell,Ground Water,,HandPump,Supaul (Amha) Spot Source Scheme(0005708128)
15,BELA,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001448430)
16,BELA,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001448430)
17,BELA,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001740720)
18,BELA,HARIJAN TOLA,Shallow tubewell,Ground Water,DASHRATH SADA,HandPump,ARWSP(0001740720)
19,BELA,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001978873)
20,BELA,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978873)
21,BELA,HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001978873)
22,EKMA,BARA HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006554201)
23,EKMA,BARA HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Supaul (Amha) Spot Source Scheme(0005708128)
24,EKMA,BARA HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Supaul (Amha) Spot Source Scheme(0005708128)
25,EKMA,BARA HARIJAN TOLA,Deep tubewell,Ground Water,T/W 2,HandPump,Supaul QA Scheme(0007076837)
26,EKMA,BARA HARIJAN TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,Supaul QA Scheme(0007076837)
