Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KARANPUR,K. CHOUDHARY TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001446587)
2,KARANPUR,K. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446587)
3,KARANPUR,K. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446587)
4,KARANPUR,K. CHOUDHARY TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006554428)
5,KARANPUR,K. HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988314)
6,KARANPUR,K. HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988314)
7,KARANPUR,K. HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988315)
8,KARANPUR,K. HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988315)
9,KARANPUR,K. HARIJAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Supaul Amha Hp(0004686617)
10,KARANPUR,K. HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Supaul Amha Hp(0004686617)
11,KARANPUR,K. HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,SUPAUL HT SCHEME(0002690103)
12,KARANPUR,K. HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Supaul Spot Source Scheme(0004017607)
13,KARANPUR,K. MANDAL TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988316)
14,KARANPUR,K. MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988316)
15,KARANPUR,K. MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988319)
16,KARANPUR,K. MANDAL TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988319)
17,KARANPUR,K. MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Supaul Amha Hp(0004686617)
18,KARANPUR,K. MANDAL TOLA,Deep tubewell,Ground Water,,HandPump,Supaul Amha Hp(0004686617)
19,KARANPUR,K. MANDAL TOLA,Deep tubewell,Ground Water,,HandPump,Supaul Spot Source Scheme(0004017607)
20,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988317)
21,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988317)
22,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988318)
23,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988318)
24,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988320)
25,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988320)
26,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988321)
27,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988321)
28,KARANPUR,KARNPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Supaul Amha Hp(0004686617)
