Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001420128)
2,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001420128)
3,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001420137)
4,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001420137)
5,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001960591)
6,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960591)
7,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988909)
8,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988909)
9,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988910)
10,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988910)
11,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988911)
12,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988911)
13,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988912)
14,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988912)
15,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988922)
16,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988922)
17,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988923)
18,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988923)
19,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988924)
20,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988924)
21,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988925)
22,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988925)
23,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988935)
24,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988935)
25,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988937)
26,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988937)
27,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988938)
28,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988938)
29,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988939)
30,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988939)
31,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988945)
32,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988945)
33,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988946)
34,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988946)
35,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988947)
36,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988947)
37,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988948)
38,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988948)
39,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988981)
40,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988981)
41,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988982)
42,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988982)
43,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988983)
44,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988983)
45,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988984)
46,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988984)
47,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988986)
48,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988986)
49,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988987)
50,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988987)
51,SOUTH,BHAWANIPUR,Deep tubewell,Ground Water,Bhaw anipur North,PWS,Pipe Water Supply Scheme Bhaw anipur Partapgunj(0006490903)
52,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Pipra Anganw adi Scheme(0005085226)
53,SOUTH,BHAWANIPUR,Deep tubewell,Ground Water,Primary School Islampur Word No 127,HandPump,Pipra Anganw adi Scheme(0005085226)
54,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Primary School Ram Tola,HandPump,School Source(0006559748)
55,SOUTH,BHAWANIPUR,Shallow tubewell,Ground Water,Primary School Suriyahi Das Tola,HandPump,School Source(0006559977)
56,SOUTH,CHAMAR TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
57,SOUTH,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pratapganj Block Ht Scheme(0004019010)
58,SOUTH,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
59,SOUTH,HARIJAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
60,SOUTH,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
61,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001960593)
62,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960593)
63,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988989)
64,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988989)
65,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988990)
66,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988990)
67,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988995)
68,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988995)
69,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988999)
70,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988999)
71,SOUTH,JHAKUR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988999)
72,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,Md. Suleman,HandPump,NC/PC(0001960058)
73,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960058)
74,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988994)
75,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988994)
76,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001988996)
77,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001988996)
78,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989001)
79,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989001)
80,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989004)
81,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989004)
82,SOUTH,MINYAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989004)
83,SOUTH,MUSHAHARI,Deep tubewell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
84,SOUTH,MUSHAHARI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
85,SOUTH,MUSHAHARI,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
86,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001960594)
87,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960594)
88,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989002)
89,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989002)
90,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989005)
91,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989005)
92,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989007)
93,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989007)
94,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989009)
95,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989009)
96,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989010)
97,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989010)
98,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989011)
99,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989011)
100,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989014)
101,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989014)
102,SOUTH,NAVTOLIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989014)
103,SOUTH,RAM TOLA 1,Deep tubewell,Ground Water,Nc/Pc Scheme For Pratapganj Block,SPOT,Nc/Pc Scheme For Pratapganj Block(0004532994)
104,SOUTH,RAM TOLA 1,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004532994)
105,SOUTH,RAM TOLA 1,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004532994)
106,SOUTH,RAM TOLA 1,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
107,SOUTH,RAM TOLA 2,Deep tubewell,Ground Water,Nc/Pc Scheme For Pratapganj Block,SPOT,Nc/Pc Scheme For Pratapganj Block(0004532995)
108,SOUTH,RAM TOLA 2,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004532995)
109,SOUTH,RAM TOLA 2,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004532995)
110,SOUTH,RAM TOLA 2,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
111,SOUTH,RAM TOLA 2,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
112,SOUTH,SAH TOLA,Shallow tubewell,Ground Water,Harinandan Sah,HandPump,NC/PC(0001960046)
113,SOUTH,SAH TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960046)
114,SOUTH,SAH TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989026)
115,SOUTH,SAH TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989026)
116,SOUTH,SAH TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989030)
117,SOUTH,SAH TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989030)
118,SOUTH,SAH TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989030)
119,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,Rajkumar Yadav,HandPump,NC/PC(0001960053)
120,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960053)
121,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989029)
122,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989029)
123,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989032)
124,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989032)
125,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989037)
126,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989037)
127,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989038)
128,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989038)
129,SOUTH,YADAV TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989038)
