Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHILAUNI,BAILAHI CHAMAN TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
2,CHILAUNI,BAILAHI CHAMAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pratapganj Block Ht Scheme(0004019010)
3,CHILAUNI,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
4,CHILAUNI,CHAMAR TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
5,CHILAUNI,CHAMAR TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
6,CHILAUNI,CHAMAR TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
7,CHILAUNI,CHAMAR TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
8,CHILAUNI,CHAMAR TOLA 1,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
9,CHILAUNI,CHAMAR TOLA 1,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pratapganj Block Ht Scheme(0004019010)
10,CHILAUNI,CHAMAR TOLA 1,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
11,CHILAUNI,CHAMAR TOLA 1,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
12,CHILAUNI,CHILAUNI,Deep tubewell,Ground Water,Primry School Dew angunj 54,HandPump,Pipra Anganw adi Scheme(0005085226)
13,CHILAUNI,CHILAUNI,Deep tubewell,Ground Water,Primry School Itaw a Hindi 49 Sorajan,HandPump,Pipra Anganw adi Scheme(0005085226)
14,CHILAUNI,CHILAUNI,Deep tubewell,Ground Water,AW Center Hosue 48 Dew angunj,HandPump,Pipra Anganw adi Scheme(0005085226)
15,CHILAUNI,CHILAUNI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pipra Anganw adi Scheme(0005085226)
16,CHILAUNI,CHILAUNI,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
17,CHILAUNI,CHILAUNI,Shallow tubewell,Ground Water,Primary School Simarw ali,HandPump,School Source(0006559469)
18,CHILAUNI,CHILAUNI,Shallow tubewell,Ground Water,Primary School Shakh Tola Macha,HandPump,School Source(0006559890)
19,CHILAUNI,GUPTA TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
20,CHILAUNI,GUPTA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
21,CHILAUNI,GUPTA TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
22,CHILAUNI,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
23,CHILAUNI,HARIJAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
