Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GOBINDPUR,GOBINDPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001420149)
2,GOBINDPUR,GOBINDPUR,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001420149)
3,GOBINDPUR,GOBINDPUR,Deep tubewell,Ground Water,Primary School Ghatha 15,HandPump,Pipra Anganw adi Scheme(0005085226)
4,GOBINDPUR,GOBINDPUR,Deep tubewell,Ground Water,Community House 14 Gadhiya,HandPump,Pipra Anganw adi Scheme(0005085226)
5,GOBINDPUR,GOBINDPUR,Deep tubewell,Ground Water,AW Center House 13 Middel School,HandPump,Pipra Anganw adi Scheme(0005085226)
6,GOBINDPUR,GOBINDPUR,Deep tubewell,Ground Water,AW Center House 12,HandPump,Pipra Anganw adi Scheme(0005085226)
7,GOBINDPUR,GOBINDPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Pipra Anganw adi Scheme(0005085226)
8,GOBINDPUR,GOBINDPUR,Deep tubewell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
9,GOBINDPUR,GOBINDPUR,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
10,GOBINDPUR,GOBINDPUR,Shallow tubewell,Ground Water,Pramri School Kow akhani,HandPump,School Source(0006556918)
11,GOBINDPUR,GOBINDPUR,Shallow tubewell,Ground Water,Primary School Surha Khatw a Tola,HandPump,School Source(0006559986)
12,GOBINDPUR,GOBINDPUR,Shallow tubewell,Ground Water,Primary School Chodhary Yadav Mushlim Tola,HandPump,School Source(0006560162)
13,GOBINDPUR,GOBINDPUR,Shallow tubewell,Ground Water,Primary School Lahoriya Das Tola,HandPump,School Source(0006564445)
14,GOBINDPUR,GOBINDPUR,Shallow tubewell,Ground Water,Pramri School Gardhiya,HandPump,School Source(0006564930)
15,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960609)
16,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001960609)
17,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989068)
18,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989068)
19,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989070)
20,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989070)
21,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989071)
22,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989071)
23,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989072)
24,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989072)
25,GOBINDPUR,MIDDLE TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989072)
26,GOBINDPUR,MUSAHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001420156)
27,GOBINDPUR,MUSAHARI TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001420156)
28,GOBINDPUR,MUSAHARI TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001420163)
29,GOBINDPUR,MUSAHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001420163)
30,GOBINDPUR,MUSAHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Pipra Anganw adi Scheme(0005085226)
31,GOBINDPUR,MUSAHARI TOLA,Deep tubewell,Ground Water,Primary School Narhi 11,HandPump,Pipra Anganw adi Scheme(0005085226)
32,GOBINDPUR,MUSAHARI TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Bhaw anipur Hp(0004682133)
33,GOBINDPUR,MUSAHARI TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Block Ht Scheme(0004019010)
34,GOBINDPUR,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960061)
35,GOBINDPUR,PASWAN TOLA,Shallow tubewell,Ground Water,Shyama Devi,HandPump,NC/PC(0001960061)
36,GOBINDPUR,PASWAN TOLA,Shallow tubewell,Ground Water,Kalikaut Jha,HandPump,NC/PC(0001960097)
37,GOBINDPUR,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960097)
38,GOBINDPUR,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960097)
39,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001960100)
40,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960100)
41,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001960104)
42,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001960104)
43,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989074)
44,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989074)
45,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989076)
46,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001989076)
47,GOBINDPUR,WEST TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001989076)
