Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,JAINAGARA,GODHI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Pratapganj Block,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533028)
2,JAINAGARA,GODHI TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533028)
3,JAINAGARA,GODHI TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533028)
4,JAINAGARA,GODHI TOLA,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
5,JAINAGARA,GODHI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006550882)
6,JAINAGARA,JAINAGARA,Deep tubewell,Ground Water,Nc/Pc Scheme For Pratapganj Block,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533029)
7,JAINAGARA,JAINAGARA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533029)
8,JAINAGARA,JAINAGARA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533029)
9,JAINAGARA,JAINAGARA,Deep tubewell,Ground Water,,HandPump,Pratapganj Spot Source Scheme(0005702812)
10,JAINAGARA,JAINAGARA,Shallow tubewell,Ground Water,Primary School Brahspati Ram Tola,HandPump,School Source(0006556019)
11,JAINAGARA,JAINAGARA,Shallow tubewell,Ground Water,Primary School Parsa Das Tola,HandPump,School Source(0006559672)
12,JAINAGARA,JAINAGARA,Shallow tubewell,Ground Water,Primary School Jainagara,HandPump,School Source(0006560244)
13,JAINAGARA,JAINAGARA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006550908)
14,JAINAGARA,PASWAN TOLA 1,Deep tubewell,Ground Water,Nc/Pc Scheme For Pratapganj Block,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533030)
15,JAINAGARA,PASWAN TOLA 1,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533030)
16,JAINAGARA,PASWAN TOLA 1,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Pratapganj Block(0004533030)
17,JAINAGARA,PASWAN TOLA 1,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006550979)
