Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BABHANGANWA,BABHANGAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002399982)
2,BABHANGANWA,BABHANGAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002399982)
3,BABHANGANWA,BABHANGAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002399985)
4,BABHANGANWA,BABHANGAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002399985)
5,BABHANGANWA,BABHANGAMA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
6,BABHANGANWA,BABHANGAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
7,BABHANGANWA,BABHANGAMA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
8,BABHANGANWA,BRAHMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400007)
9,BABHANGANWA,BRAHMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400007)
10,BABHANGANWA,BRAHMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
11,BABHANGANWA,BRAHMAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
12,BABHANGANWA,CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564120)
13,BABHANGANWA,CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564120)
14,BABHANGANWA,CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001976955)
15,BABHANGANWA,CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001976955)
16,BABHANGANWA,CHAMAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
17,BABHANGANWA,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
18,BABHANGANWA,CHAMAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
19,BABHANGANWA,MANDAL TOLA,tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564110)
20,BABHANGANWA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564110)
21,BABHANGANWA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564112)
22,BABHANGANWA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564112)
23,BABHANGANWA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564114)
24,BABHANGANWA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564114)
25,BABHANGANWA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564118)
26,BABHANGANWA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564118)
27,BABHANGANWA,MANDAL TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
28,BABHANGANWA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
29,BABHANGANWA,MEHTA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj (Babhangama) Spot Source Scheme(0005708314)
30,BABHANGANWA,MEHTA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
31,BABHANGANWA,MEHTA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
32,BABHANGANWA,MIYA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
33,BABHANGANWA,MIYA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
34,BABHANGANWA,MIYA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
35,BABHANGANWA,MUSHARI,Deep tubewell,Ground Water,Narha Tola 172,HandPump,Tribeniganj Anganw adi Scheme(0005084692)
36,BABHANGANWA,MUSHARI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Anganw adi Scheme(0005084692)
37,BABHANGANWA,MUSHARI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
38,BABHANGANWA,MUSHARI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
39,BABHANGANWA,SAHU TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400548)
40,BABHANGANWA,SAHU TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400548)
41,BABHANGANWA,SAHU TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
42,BABHANGANWA,SAHU TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
43,BABHANGANWA,SAHU TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
44,BABHANGANWA,SARDAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
45,BABHANGANWA,SARDAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
46,BABHANGANWA,SARDAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
47,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347927)
48,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347927)
49,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347929)
50,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347929)
51,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347931)
52,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347931)
53,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347936)
54,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347936)
55,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400613)
56,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400613)
57,BABHANGANWA,YADAV TOLA MALHAMA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
58,BABHANGANWA,YADAV TOLA MALHAMA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
59,BABHANGANWA,YADAV TOLA MALHAMA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
