Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001353907)
2,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001353907)
3,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001353910)
4,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001353910)
5,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001353914)
6,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001353914)
7,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400617)
8,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400617)
9,BAGHAELI,BAGHELY,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0002400617)
10,BAGHAELI,MAHATO TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381817)
11,BAGHAELI,MAHATO TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381817)
12,BAGHAELI,MAHATO TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001976958)
13,BAGHAELI,MAHATO TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001976958)
14,BAGHAELI,MAHATO TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001976958)
15,BAGHAELI,MIYA TOLA,Deep tubewell,Ground Water,Inside Habitation,PWS,MINI PWS(0006559500)
16,BAGHAELI,MIYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533297)
17,BAGHAELI,MIYA TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533297)
18,BAGHAELI,MIYA TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533297)
19,BAGHAELI,MOCHI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533298)
20,BAGHAELI,MOCHI TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533298)
21,BAGHAELI,MOCHI TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533298)
22,BAGHAELI,MOCHI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj (Babhangama) Spot Source Scheme(0005708314)
23,BAGHAELI,MUSHARI,Shallow tubewell,Ground Water,Uma Shankar Yadav,HandPump,NC/PC(0001966157)
24,BAGHAELI,MUSHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001966157)
25,BAGHAELI,MUSHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001966157)
26,BAGHAELI,MUSHARI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj (Babhangama) Spot Source Scheme(0005708314)
27,BAGHAELI,PASWAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,TRIBENIGANJ HT SCHEME(0002690079)
28,BAGHAELI,PASWAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,TRIBENIGANJ HT SCHEME(0002690079)
29,BAGHAELI,SAHU TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533299)
30,BAGHAELI,SAHU TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533299)
31,BAGHAELI,SAHU TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533299)
32,BAGHAELI,SAHU TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006554915)
33,BAGHAELI,YADAV TOLA,Deep tubewell,Ground Water,,PWS,Baghely Mini Water Supply Scheme(0004686759)
34,BAGHAELI,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
35,BAGHAELI,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
36,MOHAR RAMPUR,MIYA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381844)
37,MOHAR RAMPUR,MIYA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381844)
38,MOHAR RAMPUR,MIYA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001976961)
39,MOHAR RAMPUR,MIYA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001976961)
40,MOHAR RAMPUR,MIYA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001976961)
41,MOHAR RAMPUR,MUHARMPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381824)
42,MOHAR RAMPUR,MUHARMPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381824)
43,MOHAR RAMPUR,MUHARMPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381828)
44,MOHAR RAMPUR,MUHARMPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381828)
45,MOHAR RAMPUR,MUHARMPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381837)
46,MOHAR RAMPUR,MUHARMPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381837)
47,MOHAR RAMPUR,MUHARMPUR,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381837)
48,MOHAR RAMPUR,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381848)
49,MOHAR RAMPUR,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381848)
50,MOHAR RAMPUR,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001381848)
51,MOHAR RAMPUR,PASWAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj (Babhangama) Spot Source Scheme(0005708314)
52,MOHAR RAMPUR,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
53,MOHAR RAMPUR,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
54,MOHAR RAMPUR,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
55,MOHAR RAMPUR MILIK,MUHARMPUR MILIK,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533300)
56,MOHAR RAMPUR MILIK,MUHARMPUR MILIK,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533300)
57,MOHAR RAMPUR MILIK,MUHARMPUR MILIK,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
58,MOHAR RAMPUR MILIK,MUHARMPUR MILIK,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
59,RAGHUNATHPUR,MANDAL TOLA,Shallow tubewell,Ground Water,Raghu Mandal,HandPump,NC/PC(0001966165)
60,RAGHUNATHPUR,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001966165)
61,RAGHUNATHPUR,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001966173)
62,RAGHUNATHPUR,MANDAL TOLA,Shallow tubewell,Ground Water,Laxmi Devi,HandPump,NC/PC(0001966173)
63,RAGHUNATHPUR,MANDAL TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
64,RAGHUNATHPUR,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
65,RAGHUNATHPUR,MOCHI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533301)
66,RAGHUNATHPUR,MOCHI TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533301)
67,RAGHUNATHPUR,MOCHI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
68,RAGHUNATHPUR,MOCHI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
69,RAGHUNATHPUR,MUSHARI TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533302)
70,RAGHUNATHPUR,MUSHARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For TribeniganjlBlock(0004533302)
71,AGHUNATHPUR,MUSHARI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
72,AGHUNATHPUR,MUSHARI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
73,AGHUNATHPUR,RAGHUNATH PUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,TRIBENIGANJ HT SCHEME(0002690079)
74,AGHUNATHPUR,RAGHUNATH PUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,TRIBENIGANJ HT SCHEME(0002690079)
75,AGHUNATHPUR,SANTHAL TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533303)
76,AGHUNATHPUR,SANTHAL TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533303)
77,AGHUNATHPUR,SANTHAL TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
78,AGHUNATHPUR,SANTHAL TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
79,AGHUNATHPUR,SARDAR TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533304)
80,AGHUNATHPUR,SARDAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533304)
81,AGHUNATHPUR,SARDAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
82,AGHUNATHPUR,SARDAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Spot Source Scheme Iron Affected(0004767397)
83,AGHUNATHPUR,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
84,AGHUNATHPUR,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
85,AGHUNATHPUR,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
