Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GORHA,CHOUDHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564133)
2,GORHA,CHOUDHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564133)
3,GORHA,CHOUDHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564135)
4,GORHA,CHOUDHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564135)
5,GORHA,CHOUDHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564138)
6,GORHA,CHOUDHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564138)
7,GORHA,CHOUDHARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564138)
8,GORHA,GONHA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347943)
9,GORHA,GONHA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347943)
10,GORHA,GONHA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347950)
11,GORHA,GONHA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347950)
12,GORHA,GONHA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347952)
13,GORHA,GONHA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347952)
14,GORHA,GONHA,Deep tubewell,Ground Water,,PWS,Gorha Mini Water Supply Scheme(0004686772)
15,GORHA,GONHA,Deep tubewell,Ground Water,Community House Gonha 82,HandPump,Tribeniganj Anganw adi Scheme(0005084692)
16,GORHA,GONHA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Anganw adi Scheme(0005084692)
17,GORHA,MANDAL TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,TRIBENIGANJ HT SCHEME(0002690079)
18,GORHA,MANDAL TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,TRIBENIGANJ HT SCHEME(0002690079)
19,GORHA,MIYA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347954)
20,GORHA,MIYA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347954)
21,GORHA,MIYA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001347954)
