Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,JADIA,BRAHMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977009)
2,JADIA,BRAHMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977009)
3,JADIA,BRAHMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977009)
4,JADIA,DOM TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Tribeniganjl Block,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533327)
5,JADIA,DOM TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533327)
6,JADIA,DOM TOLA,Deep tubewell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Tribeniganjl Block(0004533327)
7,JADIA,DOM TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Spot Source(0006556419)
8,JADIA,JADIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564232)
9,JADIA,JADIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564232)
10,JADIA,JADIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564233)
11,JADIA,JADIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564233)
12,JADIA,JADIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564236)
13,JADIA,JADIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564236)
14,JADIA,JADIA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Anganw adi Scheme(0005084692)
15,JADIA,JADIA,Deep tubewell,Ground Water,Anantpur Pachaime 218,HandPump,Tribeniganj Anganw adi Scheme(0005084692)
16,JADIA,JADIA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Spot Source Scheme(0004036959)
17,JADIA,MARBARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977011)
18,JADIA,MARBARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977011)
19,JADIA,MARBARI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977011)
20,JADIA,MEHTA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977012)
21,JADIA,MEHTA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977012)
22,JADIA,MEHTA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977012)
23,JADIA,MOCHI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977014)
24,JADIA,MOCHI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977014)
25,JADIA,MOCHI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977014)
26,JADIA,MUSHARI,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001564240)
27,JADIA,MUSHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564240)
28,JADIA,MUSHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564240)
29,JADIA,MUSHARI,Deep tubewell,Ground Water,,HandPump,Tribeniganj (Babhangama) Spot Source Scheme(0005708314)
30,JADIA,MUSLMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564237)
31,JADIA,MUSLMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564237)
32,JADIA,MUSLMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564237)
33,JADIA,MUSLMAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj (Babhangama) Spot Source Scheme(0005708314)
34,JADIA,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564256)
35,JADIA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001564256)
36,JADIA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001564259)
37,JADIA,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564259)
38,JADIA,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977018)
39,JADIA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977018)
40,JADIA,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977018)
41,JADIA,PODDAR TOLA,Shallow tubewell,Ground Water,Panku Kumar Sah,HandPump,NC/PC(0001965599)
42,JADIA,PODDAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965599)
43,JADIA,PODDAR TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965600)
