Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KUSAHA,KUSHAHA,Deep tubewell,Ground Water,,HandPump,Block Tribeniganj Spot Source Scheme(0004051991)
2,KUSAHA,KUSHAHA,Deep tubewell,Ground Water,,PWS,Kushaha Mini Water Supply Scheme(0004686825)
3,KUSAHA,KUSHAHA,Deep tubewell,Ground Water,,HandPump,Tribeniganj (Babhangama) Spot Source Scheme(0005708314)
4,KUSAHA,KUSHAHA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Anganw adi Scheme(0005084692)
5,KUSAHA,KUSHAHA,Deep tubewell,Ground Water,Community House Machaha 59,HandPump,Tribeniganj Anganw adi Scheme(0005084692)
6,KUSAHA,MANDAL TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001386504)
7,KUSAHA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001386504)
8,KUSAHA,MANDAL TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001386504)
9,KUSAHA,MUSHARI,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001564280)
10,KUSAHA,MUSHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564280)
11,KUSAHA,MUSHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977132)
12,KUSAHA,MUSHARI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977132)
13,KUSAHA,MUSHARI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977132)
14,KUSAHA,MUSLMAN TOLA,Shallow tubewell,Ground Water,Bihari Sardar,HandPump,NC/PC(0001965551)
15,KUSAHA,MUSLMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965551)
16,KUSAHA,MUSLMAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965551)
17,KUSAHA,NEPALI TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001386502)
18,KUSAHA,NEPALI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001386502)
19,USAHA,NEPALI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977133)
20,USAHA,NEPALI TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977133)
21,USAHA,NEPALI TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977133)
22,USAHA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001564266)
23,USAHA,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564266)
24,USAHA,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564269)
25,USAHA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001564269)
26,USAHA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001564275)
27,USAHA,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564275)
28,USAHA,PASWAN TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001564275)
29,USAHA,RAM TOLA,Shallow tubewell,Ground Water,,HandPump,ARWSP(0001386501)
30,USAHA,RAM TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,ARWSP(0001386501)
31,USAHA,RAM TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977134)
32,USAHA,RAM TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001977134)
33,USAHA,RAM TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,NC/PC(0001977134)
34,USAHA,SARDAR TOLA,Deep tubewell,Ground Water,,HandPump,Block Tribeniganj Spot Source Scheme(0004051991)
35,USAHA,SARDAR TOLA,Deep tubewell,Ground Water,,HandPump,Tribeniganj Hp(0004691005)
36,USAHA,SARDAR TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
37,USAHA,YADAV TOLA,Deep tubewell,Ground Water,,HandPump,Block Tribeniganj Spot Source Scheme(0004051991)
38,USAHA,YADAV TOLA,Deep tubewell,Ground Water,,HandPump,Tribeniganj Hp(0004691005)
39,USAHA,YADAV TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Tribeniganj Hp(0004691005)
